1:37:001:1	Jóseph áádóó bínaaíké
1:37:001:0	Jéíkab éí hazhé'é kéyah Kéínan yiyi' tádííná yę́ęgi kééhojit'į́. 
1:37:002:0	Díí Jéíkab ba'áłchíní náás da'ahílchíihii baa hane'.Jóseph tsosts'idts'áadah binááhaigo bínaaíké yił nida'niłkaad, áko hazhé'é be'asdzą́ą́ yíł'íní Bílhah índa Zílpah biyáázhké bił tázhdíkááh, áko bąąhági ádajit'į́įgo Jóseph éí bizhé'é yee yił hoolne'. 
1:37:003:0	Áko Ízrel ła' ha'áłchínígíí biláahgo Jóseph ayóó'ájó'ní, háálá hadzistihgo há yizhchį́, áko éé' ał'ąą ádaat'eełgo łikizhgo bá ájiilaa. 
1:37:004:0	Áko hánaaíké éí hazhé'é hánaaíké t'áá ałtso biláahgo áhó'níigo bił béédahoozingo dahodzoosłáá', áádóó yá'át'éehgo doo hach'į' hadaodziih át'ée da. 
1:37:005:0	Áko Jóseph nidziizyeelgo baa nidziizyeelígíí bee hánaaíké bił hojoolne'; nít'éé' t'óó yówehda hak'ee dadeez'nih. 
1:37:006:0	Áko ábizhdííniid, T'áá shǫǫdí, da'íísółts'ą́ą́', baa neiséyeelígíí bee nihił hodeesh'nih: 
1:37:007:0	éíyee' dá'ák'ehdi tł'oh naadą́ą́' bida'iitł'o'go, áko shí be'sétł'ónígíí nídii'na'go yiizį', áko nít'éé', nihí bida'sootł'ónígíí t'áá ałtso shíhígíí yich'į' ahąh ádzaago yaa ádaadzaa. 
1:37:008:0	Áko hánaaíké ádahodííniid, Da' t'áásh aaníí nihinant'áa doo? Da' t'áásh íiyisí nihee ádíhwíínílníih doo? Áko nidziizyeelígíí índa bee bił hojoolne'ígíí biniinaa t'óó yówehda hak'ee náádadeez'nih. 
1:37:009:0	Áádóó łah nináádziizyeelgo baa nináádziisyeelígíí bee hánaaíké bił nááhojoolne'go ájíní, Shoo, ninéisíyeelgo baa neiseełígíí éí jį́honaa'éí áádóó tł'ééhonaa'éí índa sǫ' ła'ts'áadahgo shich'į' yaa áńdaat'įįh nisin. 
1:37:010:0	Nidi hazhé'é índa hánaaíké bił hojoolne'go hazhé'é hach'ahóóshkeedgo áháłní, Ha'át'íishą' bił shį́į́ bee nayííníyeel? Da' t'áásh aaníí shí áádóó nimá índa nínaaíké naa nídeiikahgo nich'į' yaa áńdeit'įįh doo? 
1:37:002:1	Jóseph éí Ííjip kéyahgóó nabi'diiznii'
1:37:011:0	Áko díí biniinaa hánaaíké dahoołch'į́į́d, nidi hazhé'é t'éiyá t'óó yaa nitsékees. 
1:37:012:0	Áko hánaaíké hazhé'é bilį́į́' Shííkem bikin haal'á nahós'a'góó adeineeskaad. 
1:37:013:0	Áko Ízrel éí Jóseph áyidííniid, Nínaaíké Shííkemdi nida'niłkaad. Tį', ákǫ́ǫ́ nidish'á. Áko ábizhdííniid, Kǫ́ǫ́ naashá. 
1:37:014:0	Áko ábijiní, Ákǫ́ǫ́ dínáahgo nínaaíké áádóó dibé baa nidíníítaał; nínaaíké índa dibéda daats'í yá'ádaat'ééh. Áko áádę́ę́' hane' shaa nídíí'ááł. Ákohgo Hííbran honíteeldóó dahozhdiił'a'go Shííkem nahós'a'di jiníyá. 
1:37:015:0	Áko halgaigi ch'ééh nazh'ntáago diné léi' hak'íníyáago áháłní, Ha'át'íishą' hanítá? 
1:37:016:0	Áko ájíní, Shínaaíké hanishtá; t'áá shǫǫdí shił hólne', háadi nida'niłkaad? 
1:37:017:0	Áko éí diné ání, Kodóó lá dah dadiináa ni'; Dóthan nahós'a'góó dii'nééł, daaníigo diséts'ą́ą́'. Áádóó Jóseph hánaaíké bikéé' dah náázdiidzáago Dóthandi bíznísá. 
1:37:018:0	T'ah nízaadę́ę́' joogáałgo dahoołtsą́, áko t'ah doo baa jíghááhgóó, Dahodiyiilyééł, daaníigo hondahaz'ą́. 
1:37:019:0	Ahidadeeshchidgo ádaaní, Shoo, aadę́ę́' ashkii nayiiyeełí yigááł. 
1:37:020:0	Tį'éi, dahodiyiilyéełgo haa'ída a'áán góyaa adahodiyiilghą́ą́ł, áko, Naaldlooshii da'aldeełii ła' boolghal lá, dadidii'niił, áko nidziizyeelígíí ha'át'íí nídoodlee łgo nihił béédahodoozįįł. 
1:37:021:0	Nidi Rúben yidiizts'ą́ą'go hach'ą́ą́h haadzíi'go ání, Doo dadiyiilyéeł da! 
