44:12:001:1	James seesyį́, índa Peter yah abi'doolt'e'
44:12:001:0	Ákwii nahalzhiish yę́ędą́ą́' Hérad aláahgo naat'áanii nilíinii, da'oodlání áłah nádleehii ła' atídadoolníiłgo yee hooł'a'. 
44:12:002:0	Áko Hérad bizaad k'ehgo John bínaaí James diltłish bee seesyį́. 
44:12:003:0	Áko Jew dine'é baa bił dahózhǫ́ǫgo hoł bééhoozingo, Peter ałdó' yidooltsołgo bee hojiił'a'. Éí díík'ǫsh t'áágééd bááh ályaii yidą́ baa nááhoolzhiizh góne'é áhóót'įįd. 
44:12:004:0	Peter bi'diiltsoodgo awáalyaa góne' yah aalt'e', áko atis'adeesdzá bee bééhániihii baa na'asdee'dóó bik'ijį' diné binááł ch'íhodi'doodlóós nízingo siláo dį́lt'éego dį́į́' níjaa'ígíí haa ádahalyą́ą dooleeł biniyé yaa honíłtį́. 
44:12:002:1	Peter awáalyaadę́ę́' ch'ínált'e'
44:12:005:0	Áko awáalyaa góne' Peter bi'dótą', nidi da'oodlání áłah nádleehii t'áá íiyisí nída'ookąąhgo Diyin God yich'į' há sodadilzin. 
44:12:006:0	Yiską́ągo Hérad bizaad k'ehgo ch'íhodi'doodlóosgo, t'áá éí bitł'éé' Peter, siláo naaki bita'gi béésh da'ahólzha'í naaki bee daho'diistł'ǫ́ǫgo ajiłhosh, índa siláo ła' awáalyaa bidáádílkał yaa ádahalyą́. 
44:12:007:0	Nít'éé' ákohgo Bóhólníihii bidiyingo naal'a'í hwíighahgi yiizį'go siláo bił jizhjé'í góne'é i'díídláád, áádóó Peter booshk'iizhjí néidííkaadgo ch'éinísidgo ííłní, Tsxį́įłgo nídiidááh! Áko béésh da'ahólzha'í hálátsíín bąąh nidí'níidee'. 
44:12:008:0	Diyingo naal'a'í áháłní, Ákánílzis áádóó kééh nánít'éés. Ákódziidzaago ánááhodoo'niid, Ni'éétsoh biih nánídáahgo shikéé' yínááł. 
44:12:009:0	Áko bikéé' joogáałgo ch'ízhníyá; diyingo naal'a'í yaa naayáhígíí t'áásh aaníí jinízin, nidi t'óó shił áhoodzaa sha'shin néizniidzį́į́'. 
