40:22:001:1	Iigehgo áda'azįįd binahjį' hane' bee ak'idi'dootį́įłii
40:22:001:0	Nít'éé' Jesus kóníigo hane' bee ak'idi'dootį́įłii yee hach'į' hanáánáádzíí', 
40:22:002:0	Yá'ąąshii bee bóhólníihgo bił haz'áanii díí bił ahąąh naa'nilgo baa nitsáhákees, éí aláahgo naat'áanii léi' biye' iiyehgo yá áda'íísįįd, 
40:22:003:0	áko iigehgo áda'azįįdjį' bida'asnii'ígíí hágo dabidi'doo'niił biniyé bá nidaal'a'í ayiis'a', nít'éé' áádę́ę́' doo dabíni' da. 
40:22:004:0	Áko kóníigo náá'áłdó' nidaal'a'í náánáła' anááyiis'a', Bida'asnii'ígíí ádabidohní, Jó'akon, shiye' bá áda'niidą́'ígíí k'ad hasht'eeshłaa, shibéégashii índa shibéégashii yáázh daneesk'ahígíí nidaaztseed, áádóó ałtso hahodidzaa; hágo, iigehgo áda'azįįdjį' dadohkááh. 
40:22:005:0	Nidi t'áadoo yaa nídaast'įįdí t'óó dah dahidiikai, ła' bidá'ák'ehgóó dah diiyá, ła' baa na'iiniihgóó dah diiyá, 
40:22:006:0	náánáła' éí naat'áanii bá nidaal'a'ígíí deisiłgo t'áá na'níle'dii nideistseed. 
40:22:007:0	Áko aláahgo naat'áanii báhóóchįįd, áádóó bisiláo ákǫ́ǫ́ yiyííł'aadgo nida'astseedígíí dayííghą́ą́', índa bikin haal'áhígíí yits'ą́ą́' deidííłid. 
40:22:008:0	Ákohgo bá nidaal'a'ígíí áyidííniid, Iigehgi ałtso hahodidzaa, nít'éé' bida'asnii'ígíí éí doo yą́ą́h danilį́į́góó áda'diilyaa. 
40:22:009:0	Éí bąą nihílááh, da'nítiingóó ch'íhóhkáahgo t'áá shódaozt'e'ígi iigehgo áda'azįįdjį' hágo dabidohní. 
40:22:010:0	Áko éí nidaal'a'í da'nítiingóó aheeskaigo, diné doo yá'ádaashóonii índa diné yá'ádaat'éehii t'áá shódaozt'e'ígi t'áá ałtso áádę́ę́' áłah ádayiilaa, áko nidahaaskaígíí iigeh góne' hadéébįįd. 
40:22:011:0	Nidi aláahgo naat'áanii hágo dabidoo'niidígíí yidínóoł'įįł biniyé yah ííyá, nít'éé' ákwii diné ła' iigehjį' éé' bee na'adáii doo yee hadít'éégóó yiyiiłtsą́, 
40:22:012:0	áko áháłní, Kwá'ásiní, ha'át'éego lá iigehjį' éé' bee na'adáii t'áágééd yah ííníyá? Áko t'áadoo yee haodziihí da. 
40:22:013:0	Ákohgo aláahgo naat'áanii bá nidaal'a'í áyidííniid, Bíla' índa bikee' be'ohtł'óogo, tł'óó'dóó nówehjį' chahałheełgóó ahołhan; áadi diné daachxa áádóó biwoo' ahídeidiłk'ash doo. 
40:22:002:1	Síízar bich'į' tax nahalyéhígíí bína'ídéékid
40:22:014:0	Háálá lą'í bíká ádahodoo'niid, nidi t'áá díkwíí nídahaasdláá', dííniid. 
40:22:015:0	Ákohgo Férisii danilíinii dah diikaigo, T'áá ha'át'éegoda hazaad bee hákadadi'yiilyił, daaníigo yaa nídaast'įįd. 
40:22:016:0	Áko kódaaníigo bíjí bídahooł'aahii índa Hérad yich'ijí danilínígíí hach'į' adeis'a', Na'nitiní, nihił béédahózingo t'áá aaníígóó hólne', áádóó t'áá aaníígóó Diyin God k'ehgo honít'i' bína'níłtin, índa t'áadoo diné ła' bééníldzidí da, háálá diné doo nił ał'ąą át' ée da. 
40:22:017:0	Éí bąą díí haash yit'éego baa nitsíníkeesgo bee nihił hólne'. Síízar bich'į' tax nahalyéegoósh bee haz'ą́, dooda daats'í? 
40:22:018:0	Nidi hwe'áká naat'á éí Jesus bił bééhózingo ádííniid, Nihí t'óó ádahodoł'íinii, ha'át'íishą' biniyé shíkada'iyołhil? 
40:22:019:0	Tax nahalyéii ła' nihá nísh'į́. Áko béeso denériyas wolyéhígíí ła' haa deiz'ą́. 
40:22:020:0	Nít'éé' ábijiní, Díishą' háí bitsiits'iin bik'i si'ą́, áádóó háísh bízhi' bikáá'? 
40:22:021:0	Nít'éé' ádahałní, Síízar lą́ą. Áko ábijiní, Éí lá bąą, Síízar bíhígíí Síízar baa nídahoh'níił ni, áádóó Diyin God bíhígíí éí Diyin God baa nídahoh'nííł. 
40:22:003:1	Aninéédę́ę́' náádi'doojahgi bína'ídíkid
40:22:022:0	Áko éí saad deidiizts'ą́ą'go t'óó bił adahóóyóí, índa hats'ą́ąjį' dah dahidiikai. 
40:22:023:0	Nít'éé' t'áá éí bijį́ Sádjusii danilíinii haa yíkai, éí aninéédę́ę́' doo náá'di'yiijeeh da daaní, áko nidahódééłkidgo 
40:22:024:0	kódaaní, Na'nitiní, Mózes áníí nít'éé', Diné ła'da ha'áłchíní t'áadoo haleehí dadziztsą́ągo bił hajíí'áázh éí hwe'asdzą́ą́ nít'éé' yę́ę ts'ídá yá náá'doogeh, áko éí bínaaí yę́ę bá áł chíní hwee hodooleeł. 
