12:20:001:1	Heziikáíyah bitah doo hóóts'íid da
12:20:001:0	Éí yoołkááł yę́ędą́ą́' Heziikáíyah dadootsaałgo bitah doo hóóts'íid da. Éímaz biye' Aizéíyah Diyin God yá halne'ii haa níyáago áháłní, Bóhólníihii kóní, Na'áłchíní bá t'áá ałtso hasht'edíílííł, háálá dadíítsaał; doo náádidíídáał da. 
12:20:002:0	Nít'éé' kin ahéé'ítł'inígíí bich'į' níjiizhjizhgo Bóhólníihii bich'į' sozdoolzingo ájíní, 
12:20:003:0	Bóhólníihii nílíinii, k'ad shéénílniih, nánooshkąąh, ninááł t'áá aaníígóó áádóó t'áá ákogi ánísht'éego níyá, áádóó ninááł yá'ádaat'éehii baa niséyá. Áko Heziikáíyah t'áá íiyisí jíícha. 
12:20:004:0	Áko Aizéíyah tł'óo'di haz'áníjį' t'áadoo ałníjígháhí, Bóhólníihii hach'į' haadzíi'go ání, 
12:20:005:0	T'ą́ą́' nídídáahgo shidine'é yinanit'a'í Heziikáíyah bił hólne', Bóhólníihii éí nizhé'é David yę́ę biDiyin God kóní, Nisodizin diséts'ą́ą́'; ninák'eeshto' yiiłtsą́; jó, nándeesdzih; táá' yiską́ągo Bóhólníihii bikin bii' sohodizin góde díínááł. 
12:20:006:0	Áádóó níyoołkáłígíí éí ashdla'áadah nááhai bínéideeshnił, áko díí kin haal'áhígíí índa ni Asíriya dine'é aláahgo binanit'a'í bigháánihideeshnił, áádóó t'áá shí shinahjį' índa shá naal'a'í David yę́ę binahjį' díí kin haal'áii bich'ą́ą́h naasháa doo. 
12:20:007:0	Áko Aizéíyah ání, Fig sikaadii bineest'ą' ałk'íbí'néésnii'ii nídooh'aah. Áko nídazhdii'ą́ągo yilch'ozhígi há bikáá' nidadziz'ą́ągo yá'át'ééh níjísdlį́į́'. 
12:20:008:0	Heziikáíyah éí Aizéíyah ííłní, Bóhólníihii náshidoołdzihígíí áádóó táá' yiską́ągo Bóhólníihii bikin bii' sohodizin góde deesháałgo ha'át'íísh bee bééhózin doo. 
12:20:009:0	Áko Aizéíyah ání, Bóhólníihii yee haadzí'ígíí ádooníiłii Bóhólníihii bits'ą́ą́dę́ę́' díí bee nich'į' ééhózin doo: chaha'oh yildoh bee bééhózinígíí daats'í neeznáá bik'eh ánízahjį' náás doolkił, doodaii' t'ą́ą́' nídoolkił? 
12:20:010:0	Nít'éé' Heziikáíyah haadzíi'go ání, Chaha'oh yildoh náásee neeznáá bik'eh ánízahjį' eeldohgo éí t'áá bééhózíní, éí dooda, nidi bíni' chaha'oh neeznáá bik'eh ánízahjį' t'ą́ą́' nídoolkił. 
12:20:002:1	Heziikáíyah éí Bábilandę́ę́' baa íldee'
12:20:011:0	Áko Aizéíyah Diyin God yá halne'ii éí Bóhólníihii yéego yich'į' ádííniidgo chaha'oh yildoh bee bééhózinígíí Éíhaz áyiilaa yę́ę chaha'oh neeznáá bik'eh ánízahjį' t'ą́ą́' néideeskid. 
12:20:012:0	Íídą́ą́' Báladan biye' Bábilan dine'é aláahgo binanit'a'í Biiródak-báladan éí Heziikáíyah daatsaah nít'ée'go yaa hodiizts'ą́ą́', áko éí naaltsoos áádóó aa doolyéełii Heziikáíyah yich'į' yił a'ííł'a'. 
12:20:013:0	Áko Heziikáíyah éí hach'į' hadaasdzí'ígíí bázdiizts'ą́ą'go haghan góne' da'ílíinii hólónígíí t'áá át'é deinééł'į́į́'; éí béésh łigaii áádóó óola áádóó spáis wolyéii áádóó tłah da'ílíinii áádóó kin góne' béésh éé' hwee hólóonii t'áá át'é índa yódí bá hooghan hwee hólóonii t'áá át'é; bighan góne' índa bee hóhólníhígi hólóonii éí t'áadoo ła' t'áá bídiní t'áá át'é deinééł'į́į́'. 
12:20:014:0	Nít'éé' Aizéíyah Diyin God yá halne'ii éí Heziikáíyah yaa níyáago ííłní, Díí dinéshą' ha'át'íí daaní? Háádę́ę'shą' naa yíkai? Áko Heziikáíyah ádííniid, Kéyah nízaadę́ę́', Bábilan hoolyéédę́ę́' yíkai. 
12:20:015:0	Áádóó ání, Nighan góne' ha'át'íísh deinééł'į́į́'? Heziikáíyah haadzíi'go ání, Shighan góne' hólónígíí t'áá át'é deinééł'į́į́': shinaalye'é da'ílíinii bitahdóó t'áadoo ła' doodaí shá deinééł'į́į́'. 
12:20:016:0	Áko Aizéíyah éí Heziikáíyah áyidííniid, Bóhólníihii ánínígíí yísíníłts'ą́ą́'. 
12:20:017:0	Jó, beiníłką́ągo nighan góne' hólónígíí t'áá át'é, áádóó díí jį́įjį' danizhé'é yę́ę hasht'enidayiiznilígíí éí Bábilangóó ahidoogéełgo doo ła' doodzih da, ní Bóhólníihii. 
12:20:018:0	Áádóó daniye'ké náás ahoolchíiłii ła' adeidiyoo'ish, áko éí Bábilan dine'é aláahgo binanit'a'í bighan góne' naalte' danilį́į doo. 
12:20:003:1	Heziikáíyah daaztsą́
12:20:019:0	Nít'éé' Heziikáíyah éí Aizéíyah ábizhdííniid, Bóhólníihii áníinii bee háínídzí'ígíí éí yá'át'ééh. Shíyoołkáłígíí biyi' hasht'ehodít'é áádóó t'áá aaníinii hólónígíí éí yá'át'ééh. 
12:20:020:0	Heziikáíyah łahjį' ádzaii áádóó yee ayóó át'éii índa tó bá az'ánígíí áádóó bits'ą́ą́dóó kin haal'áajį' tó bii' nílíní áyiilaii éí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:20:021:0	Áko Heziikáíyah éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh, áádóó haye' Manáseh hatsásk'ehgi aláahgo nant'á silį́į́'.
