33:2:001:1	Badahojooba'íii bide ádahodzósinii doo hojooba' ájíníi da
33:2:001:0	Bitsásk'eh yikáá' naazhjée'go doo ákwii át'éii yindahagizii bich'į' doo hojooba' ájíníi da ! Yee hasht'enitsídaazkéezii hool'įįhgo bidziil yaa dadzólíigo doo shódaat'į́į da .
33:2:002:0	Áádóó dáda'ak'eh yidádanoolníigo yił hadahidilchííd , índa daakin yidádanoolníigo t'áá na'níle'dii aghadayii'nííł , áko diné áádóó ba'áłchíní éí t'áá bí áádóó bíí' dadooleełii yide ádahósin .
33:2:003:0	Éí bąą Bóhólníihii kóní , Díí dine'é bik'ijį' doo yá'áshóonii binahosí'ą́ ; éí bits'ą́ą́dóó doo nahjį' háádadínóołniił da ; doo ádaa dahohniih da doo , háálá díí hoolzhishii doo yá'áshǫ́ǫ da .
33:2:004:0	Éí bijį́ ła'da yéego atínídindleehgo niheel'į́įgo yichago yee nihá nahodoołt'ih kóníigo , Ałtso ásiidįįd ; shidine'é daabíi'ii łahgo áyiilaa ; dooládó' lá shits'ą́ą́jí hasdlį́į' da ! Nihits'ą́ą́jí danilíinii éí nihikédaayah yitaideez'ą́ .
33:2:005:0	Éí bąą Bóhólníihii bidine'é bitahdóó doo ła'da tł'óół bee kéyah ałts'á daadzoii nináázhdoołdił da .
33:2:006:0	Dahalne'ii , T'áadoo daho łne'í , deiłní , nidi doo hoł dahalne'góó t'óó baa yádahodoosįįł .
33:2:007:0	Jéíkab dine'é danohłį́įgo nihi'dójíii , Bóhólníihii biNíłch'i doósh ha'ólníi da ? Díísh bí át'į́ ? T'áá ákogi át'éego deíkáahii bá shizaad yá'át'éehgo áánííł .
33:2:008:0	T'áá ániidígo shidine'é ana'ígi át'éego deizį' ; bíighah dahizhdikáahii ha'éétsoh áádóó ha'éé' t'áá bił haa deidiyiiłtł'iid , áko anaa'dę́ę́' nináhaaskai nidahojílin .
33:2:009:0	Shidine'é bitahdóó sáanii danilíinii dabighan yaa bił dahózhóonii biyi'dóó ch'ídahoołtł'ííd ; bee ak'ihojidlíii ba'áłchíní baa diní'áanii hool'áágóó bits'ą́ąjį' kódaohłaa .
33:2:010:0	Nídoohjeeh , áádóó nahgóó haohkááh ; kwe'é doo háádadoołyįh da ; t'óó bahoo'ih hazlį́į'go biniinaa ts'ídá yéego bik'ee ti'hoo'níihgo ó'ooldįįłii bee ánihidi'dooldįįł .
33:2:011:0	Diné ła' t'óó áhodil'į́įgo tádígháahii biyooch'íidgo kódííniidgo , Wáin áádóó tó diłhił bee nihił hashne' doo , áko éí díí dine'é yá halne' doo .
33:2:012:0	Jéíkab dine'é danohłíinii , t'áá ánółtso t'áá aaníí áłah ánihideeshłííł ; Ízrel dine'é daadziihígíí t'áá aaníí áłah ádeeshłííł ; dibé bighangi dibé ahanineelkaadígi át'éego ahanihodínéeshkał , áko dibé bighan góne' dibé shijée'go hahóół'áhígi át'éego dine'é t'óó ahayóí hahóół'áa doo .
33:2:013:0	Áko bá ch'íhóót'i'go áyiilaii doogááł , áádóó ąą deideeztą́ągo dáń'dítį́į́h góne' tł'óó'góó ch'ídookah ; aláahgo binanit'a'í nilíinii bilą́ąjį' yigáał doo , áko bilą́ąjį' Bóhólníihii hólǫ́ǫgo ch'íhidookah .
