9:19:001:1	Saul éí David yidiyoołhéełgo yíka'ałkid
9:19:001:0	Saul haye' Jánathan índa há nidaal'a'ígíí t'áá ałtso éí David dadiyoołhééł , bizhdííniid .
9:19:002:0	Nidi Saul biye' Jánathan éí t'áá íiyisí David yaa bił nihoozhǫǫh . Áko Jánathan éí David bił hojoolne'go ájíní , Shizhé'é Saul nidiyoołhééł biniyé naa hideesdzá , éí bąą abíníjį' t'áá ni ádaa áhólyą́ągo nahont'ingi ná'ádíl'įįh ,
9:19:003:0	áko sínídáhígóó deesháałgo shizhé'é bíighahgi naasháa dooleeł ; naa yáshti'go shizhé'é bił ahił hashne'go shił bééhoozinígíí bee nił náhodeeshnih .
9:19:004:0	Áádóó Jánathan hazhé'é bich'į' nizhónígo David baa yájíłti'go ábizhdííniid , Aláahgo naat'áanii nílíinii , ná naal'a'í David bił ádił óólziih lágo , háálá bí doo nich'į' ádił ni'iilzíih da , índa bí éí binaanish t'áá íiyisí nizhónígo ná áyoolííł .
9:19:005:0	Háálá niná'ádeet' ą́ągo Filístiya diné yiyiisxį́ , háálá Bóhólníihii éí bee yisdá'iildéehii ayóó át'éii Ízrel dine'é yá áyoolííł . Éí yiniłtsą́ągo t'áá íiyisí baa nił hóózhǫǫd , áko ha'át'éegoshą' David t'áadoo baanígóó bini'niłhį́įgo doo ádąąh dahast'áanii bidił bits'ánílį́įgo áníléehgo bee ádił iilziih ?
9:19:006:0	Áko Jánathan bizaad dzidiizts'ą́ą'go Saul ádee hazdoodzíi'go ázhdííniid , Ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego ts'ídá t'áá aaníí David doo bidi'yoolyéeł da .
9:19:007:0	Áko Jánathan éí David hágo bizhdííniid , áádóó Jánathan éí t'áá ałtsoní hoł ííshjání áyiilaa . Áko Jánathan éí David yił dah dii'áazhgo Saul bich'į' hoł jiní'áázh , áko t'áá binááł nijighá yę́ęgi át'éego nináájídáá nít'éé' .
9:19:008:0	Áádóó anaa' nááhásdlį́į'go David dah diiyáago Filístiya dine'é yił da'ahoogą́ą'go t'óó ahayóí neistseed , áádóó ła' éí hak'ee yóó'aheezhjéé' .
9:19:009:0	Níłch'i doo yá'áshóonii Bóhólníihii bits'ą́ą́dóó Saul yik'i nááhoodle' ; Saul hatsiidétáán anáhálghą́hígíí dah jootį́įłgo hakin góne' dzizdá , áádóó David bitsin tł'óół bąąh daneelzhee'go bee nida'a'néii yee há naazne' .
9:19:010:0	Áádóó Saul hatsiidétáán anáhálghą́hígíí bee kin bik'ijį' David bighá deesxih jiniizį́į́' , nidi David hats'ąą deesyizgo tsiidétáán t'óó kin baa ííjil , áádóó t'áá éí bitł'éé' David yóó'ajoolwod .
9:19:011:0	Áádóó Saul bá naal'a'í ła' David bikingóó ayiis'a'go haa neheekai , abínígo dah hodiyoołhééł biniyé . Nidi David hwe'asdzą́ą́ Máíkal hoł hoolne'go ání , Díí tł'éé' yisdá'ádidííltééł biniyé doo yóó'íínílwodgóó yiską́ągo abínídą́ą́' t'óó dandiyoołhééł .
9:19:012:0	Áko Máíkal éí tsésǫ' góyaa David hadajíílo'go yóó' eelwod .
9:19:013:0	Áko Máíkal éí e'elyaii néidiiłtį́įgo tsásk'eh yikáá' niiníłtį́ , áádóó tł'ízí bighaa' tsii'ááł bits'iiyah nizníłtsoozgo bik'ídzísti' .
9:19:014:0	Áko Saul bá nidaal'a'í éí David háká dabi'deel'a' nít'éé' asdzání ádííniid , Dajitsaah .
9:19:015:0	Áádóó Saul bá nidaal' a'í éí David yich'į' anááyiis'a'go ání , Tsásk'eh t'áá bii' dziztį́įgo shá náhonołteeh , áko hodiyeeshxééł .
9:19:016:0	Áko nidaal'a'í yah aakai , nít'éé' jó , e'elyaii léi' tsásk'eh yii' sitį́įgo tł'ízí bighaa' bitsii'áál lá .
9:19:017:0	Áádóó Saul éí Máíkal áyidííniid , Ha'át'íísh biniyé shini'sínílo'go shi'ana'í shiyaa haalwod ? Áko Máíkal éí Saul ánéidoo'niid , Áshidííniidgo ání , Shíni'dii yishááł , ha'át'íísh biniyé nidiyeeshxééł ?
9:19:018:0	Áko David yóó'eelwodgo yisdááyá áádóó Réímah nahós'a'gi Sámuel baazhníyáago Saul hach'į' áát'įįdígíí t'áá át'é bee bił hojoolne' . Áádóó Sámuel bił dashdii'áazhgo Néíyath haz'ánígi kééhojit'į́į́ nít'éé' .
9:19:019:0	Áko Saul yił dahoolne'go ádaaní , Néíyathdi Réímah nahós'a'gi David naaghá .
9:19:020:0	Áádóó David shódeidoołt'eeł biniyé Saul bá nidaal'a'í ákǫ́ǫ́ anááyiis'a' , áko Sámuel á sizį́įgo Diyin God yá dahalne'ii dahalne'go dayiiłtsą́ , nít'éé' Saul bá nidaal'a'í ałdó' Diyin God biNíłch'i Diyinii bik'i dahoole'go Diyin God yá dahoolne' .
9:19:021:0	Saul éí bee bił hóóne'go bá nidaal'a'í ła' ákǫ́ǫ́ anááyiis'a' , nít'éé' éí ałdó' t'áá ákót'éego Diyin God yá náádahoolne' . Táadi aleeh góne' Saul éí nidaal'a'í ła' ákǫ́ǫ́ anáádziis'a' , nít'éé' éí ałdó' Diyin God yá náádahoolne' .
9:19:022:0	Áko índa Réímah nahós'a'góó dashdiiyáago Sííko kin shijaa'gi tó hahadleeh ayóó át'éé léi'gi jiníyá , áko na'ízhdééłkidgo ájíní , Sámuel áádóó David éí háadi naa'aash ? Áádóó ła' áhodííniid , Jó , éí Néíyath haz'ánídi Réímah nahós'a'gi naa'aash .
9:19:023:0	Áádóó Néíyathjį' Réímah nahós'a'góó dashdiiyá , áko hó ałdó' Diyin God biNíłch'i Diyinii hak'i hoole'go Réímah nahós'a'gi Néíyathdi jiníyáajį' Diyin God bá hojilne' .
9:19:024:0	Áádóó ałdó' ha'éé' hazhdii'nilgo t'áá ákót'éego Sámuel binááł Diyin God bá hojoolne' índa shá bíighah áádóó tł'éé' bíighah ha'éé' t'áágééd dziztį́ . Éí bąą diné kódaaní , Saul wolyéiísh ałdó' Diyin God yá halne'ii yidiiyá ?
