46:8:001:1	Pen . viij .
46:8:002:1	Y mae ef yn ceryddu yr ei ’sy yn arver ei rhyðdit er rhwystro eraill , gan vyned ir lle ir aberthit ir
46:8:003:1	*
46:8:004:1	eiðolon , delweu
46:8:005:1	gau dduwieu , Ac yn dangos paddelw y dylyei ddynion ymddwyn tu ac at yr ei gweinion .
46:8:001:0	AC am y petheu a aberthir ir geudduwieu : gwyddom vot genym bawp wybodaeth , gwybodaeth a chwyða , anyd cariat a adaila .
46:8:002:0	Ac a thybia nep y vot yn gwybot peth , ny wyr ef eto ddim val y dyly wybot .
46:8:003:0	Anyd a’s car neb Dduw , e gafas hwn wybodaeth gantaw ef .
46:8:004:0	Can hyny am vwyt‐a aberthir ir eiddolon , gwyddom nad yw eiddol ddim yn y byt , ac nad oes neb Duw arall , anyd vn :
46:8:005:0	A’ chyd bot ’rei a elwir yn ddeuwieu , ai yn y nef , ai yn y ddaiar , ( megis y mae duwiae lawer , ac arglwyddi lawer )
46:8:006:0	er hynny i ni nyd oes and vn Duw , ’sef y Tat , o ba vn y mae pop peth , a nineu ynddo ef : ac vn Arglwydd Iesu Christ , gan yr hwn y mae yr oll petheu , a’ ninen trwyddo yntef .
46:8:007:0	Eithyr nyd oes gan bawp gyfryvv wybodaeth : can ys rei a chanthynt gydwybot ir eiðol , yd yr awrhon , a vwytaant val yn peth wedy’ aberthu ir eiðol , ac velly eu cydwybot yn bot yn wan , a halogir .
46:8:008:0	Eithyr ny wna bwyt ni yn gymeradwy gan Dduw : can ys a’s bwytawn , nyd oes i ni vwy : nac any vwytawn , nyd oes i ni lai .
46:8:009:0	Anyd gwelwch rac ich meddiant hwnw vot yn achos tramgwyð ir ei ’sy weinion .
46:8:010:0	Can ys a’s gwyl nep di ’sy a gwybodaeth genyt yn eistedd i vwyta yn teml yr eiðolon , anyd addyscir cydwybot yr hwn ’sy wan , i vwyta or petheu hyny a aberthwyt ir eiðolon ?
46:8:011:0	A’ chan dy wybodaeth di y cyfirgollir dy vrawt gwan , dros yr hwn y bu varw Christ .
46:8:012:0	Ac a’ chwi yn pechu velly yn erbyn y brodur ac yn briwo ei gwan gydwybot hwynt , ydd y‐wch yn pechu yn erbyn Christ .
46:8:013:0	Erwydd paam a’s trancwydda bwyt vy‐brawt , ny vwytawyf gic yn tragyvythawl , rac ym beri im brawt dramcwyddo .
