19:89:001:1	Diyin God éí David yił aha'deet'ą́
19:89:001:0	Bóhólníihii aa a'ááh nízinii hool'áágóó baa hashtaał doo ; náás oochííłgóó na'ahódlíigo ná baa hashne' doo .
19:89:002:0	Háálá ádííniid , Aa a'ááh hasin hool'áágóó hasht'edoolnííł ; yót'áahdi hiníláii daniłdzilígi át'éego na'ahódlíii hasht'edíílííł .
19:89:003:0	Nídiiłtíinii bił ałhadi'nisht'ą́ . Shá naal'a'í David bich'į' ádee hadeesdzíí' .
19:89:004:0	Nits'ą́ą́dóó oochíiłii hool'áágóó hasht'edeeshłííł ; t'áá éí oochíłígíí ni'níchį́įjį' dahwée'aahgo ádeeshłííł . Síilah .
19:89:005:0	Bóhólníihii nílíinii , yót'áahdi hiníláii éí t'óó bik'e'ayóigo ánít'éii áádóó na'ahódlíii ałdó' nidiyį́į́' áłah nilį́įgi naa dahaniih doo !
19:89:006:0	Yádiłhił biyi'di naaldeehiishą' háidíígíí Bóhólníihii bił ałhąąh nijóníłígi át'é ? Yá'ąąshdę́ę́' ayóó ábóotsxe'ii biye'ké danilíinii bitahdóó háishą' Bóhólníihii nahalin ?
19:89:007:0	Éí Diyin God nilíinii bidiyį́į́' áłah nídaadleehgi t'áá íiyisí bits'ąą daasti'go ádabósin , áádóó binaagóó naaldeehii t'áá ałtso t'áá íiyisí bits'ąą daasti'go ádabósin .
19:89:008:0	T'áá ałtsoní bee Bóhólníihii Diyin God nílíinii , háishą' nigi át'éego ayóó ábóodziil ? Bóhólníihii , t'áá áłahjį' naa hodzódlíhígíí nináhaazlá .
19:89:009:0	Tónteel ádá náhálchįįhgo bee nóhólnííh ; bíígháán náádadiidáahgo hasht'ééhííłt'eeł .
19:89:010:0	Seesyínígíí nahalingo Réíhab shíníłjizh . Nigaan ayóó ábóodziilii bee ni'ana'í taisíníghaz .
19:89:011:0	Yádiłhił áádóó yá'ąąsh éí níí' , nahasdzáán ałdó' níí' ; nahasdzáán áádóó bii' dahólóonii t'áá ałtso íinilaago nííní'ą́ .
19:89:012:0	Náhookǫs índa shádi'ááh íinilaa , Dził Téíbor áádóó Dził Hérman bił hózhǫ́ǫgo nízhi' yaa haniih .
19:89:013:0	Nigaan bee ayóó ánóodziil , níla' ałdó' bee nidziil , dego níla' nish'náájí bee dah díílnih .
19:89:014:0	T'áá ákogi át'éii áádóó doo haada yit'éii nibikáá'dóó nahat'áii bee niłdzil ; aa a'ááh hasin áádóó t'áá aaníinii nilą́ąjį' nahalne' .
19:89:015:0	Hane' baa hózhóonii bił béédahózinii bik'idahojidlí . Bóhólníihii nílíinii , éí ninii' bee i'díídííngóó hool'ingo deíkááh .
19:89:016:0	Shá bíighah nízhi' baa bił nidahoozhǫǫh ; nits'ą́ą́dóó t'áá ákogi át'éii yee ayóó ádaat'éego ádabi'doolniił .
19:89:017:0	Háálá dabidziilgo íínísinígíí yee naa dahaniih . Áádóó nihich'oní'nínígíí bee nihinahat'a' bidziil .
19:89:018:0	Háálá nihich'ą́ą́h hojílóonii Bóhólníihii bíí' jílį́ ; aláahgo nihinanit'a'í éí Ízrel dine'é biDiyin nilíinii bíí' jílį́ .
19:89:019:0	Nidiyį́į́' nilíinii łah ił áhát'į́ bee bich'į' háínídzíi'go ádííníniid , Ayóó ábóodziilii bíká eeshwod . Diné bitahdóó nídiiłtíinii binahat'a' bidziilgo íishłaa .
19:89:020:0	Shá naal'a'í , David bik'íninítą́ą́' . She'ak'ah dílzinii bik'i yaaziidgo yísį́į́' .
19:89:021:0	Éí shíla' bee bíká anáshwo'ígíí ts'ídá doo bits'ą́ąjį' kódooníił da . Shigaan ałdó' bidziilgo ábósin doo .
19:89:022:0	Ana'í nilíinii doo biya'iidooloh da . Diné doo yá'áshóonii doo atíbidoolíił da .
19:89:023:0	Bidáahjį' bi'ana'í danilíinii bik'eh dideeshdleeł , índa bik'ee dadiniihii naa'abízhdiyeeshxal .
19:89:024:0	Sha'ahódlíii áádóó haa a'ááh nisinii bił hólǫ́ǫ doo . Shízhi' binahjį' hanahat'a' bidziil dooleeł .
