40:9:001:1	Jesus éí diné doo bitah nahwii'náanii néidiisá
40:9:001:0	Áko Jesus tsinaa'eeł yiih yíyáago ha'naa niná'níł'éél , áádóó t'áá bí bikin haal'áajį' nádzá .
40:9:002:0	Nít'éé' diné léi' doo bitah nahwii'náágóó bik'i antéhí yik'i sitį́įgo haa deistsooz , áko bida'oodlą' baa ákozniizį́į'go diné doo bitah nahwii'nánígíí ábizhdííniid , Shiye' , nił hózhǫ́ǫ le' ; ádił ni'iyínílzí'ígíí ná yóó'adoot'ą́ .
40:9:003:0	Áádóó jó'akon , bee haz'áanii yínda'niłtinii ła' t'áá biyi'ídi ádadííniid , Díí diné éí Diyin God doo yidósingóó yáłti' .
40:9:004:0	Nidi nitsídadzikeesígíí Jesus bił bééhózingo áhodííniid , Ha'át'éegoshą' bąąhági át'éego nihijéí bii' nitsídaahkees ?
40:9:005:0	Háidíígíishą' doo nantł'agóó bee ha'doodzih ? Ádił ni'iyínílzí'ígíí ná yóó'adoot'ą́ , ha'nííjí daats'í , éí doodago , Nídii'néehgo dah diinááh , ha'nííjí daats'í ?
40:9:006:0	Nidi nahasdzáán bikáa'gi Diné Silį́į'ii ádił ni'iidzííh á yóó'iidii'aah yee bóhólníhígíí nihił béédahózin doo nisin . Áko bitah doo nahwii'nánígíí áyidííniid , Nídii'nééh , áádóó bik'i nítéhí nídiiníiłgo nighangóó nídídááh .
40:9:007:0	Áko nízhdii'na'go haghangóó dah nízhdiidzá .
40:9:002:1	Matthew , Shikéé' yínááł , bi'doo'niid
40:9:008:0	Nít'éé' diné yíl'áhígíí éí dayiiłtsą́ągo nídaasdzííd , áádóó Diyin God éí bee óhólnííh ákót'éii nihokáá' dine'é yeidiní'ánígíí bąą Diyin God yaa dahaznih .
40:9:009:0	Áádóó Jesus dashdiiyáago joogááł , nít'éé' diné léi' Matthew wolyéego , tax nahalyéhígi sidáago jiiłtsą́ , áko ábizhdííniid , Shikéé' yínááł . Áko nídii'na'go hakéé' dah diiyá .
40:9:010:0	Matthew bighan góne' Jesus áádóó bídahooł'aahígíí bił da'jiyą́ą́ nít'éé' , jó'akon , tax nahalyéhígíí yiniyé naazdáii índa bąąhági ádaaníiłii t'óó ahayóí neheeskaigo hoł ida'niiyą́ą́' .
40:9:011:0	Áko Férisii danilíinii éí dayiiłtsą́ągo hódahooł'aahii ádeidííniid , Ha'át'éegoshą' nanihizhnitinígíí tax nahalyéhígíí yiniyé naazdáii índa bąąhági ádaaníiłii bił da'jiyą́ ?
40:9:012:0	Nidi Jesus éí yidiizts'ą́ą'go ádííniid , Diné doo bąąh dah nidahaz'ánígíí azee' ííł'íní doo yich'į' dadikáah da , nidi bąąh dah nidahaz'ánígíí t'éiyá .
40:9:003:1	Hodílzingo doo adą́ągi bína'ídíkid
40:9:013:0	Nidi nihílááh , díí ááhyiłníinii nihił béédahoozįįh , Aa a'ááh hasin éí nisin , nááhániihii éí dooda . Háálá ts'ídá t'áá ákogi ádaat'éii doo bíká ádideeshniił biniyé níyáa da , nidi bąąhági ádaaníiłii , Łahgo át'éego Diyin God bich'į' tsíńdadohkeesgo nihibąąhági át'éii bits'áhóhkááh , bidideeshniił biniyé níyá .
40:9:014:0	John bídahoo ł'aahii kódaaníigo Jesus yaa yíkai , Ha'át'éegoshą' nihí áádóó Férisii danilíinii t'áá ahą́ą́h hodílzingo doo adánígíí bee ádá nídahwiil'aah , ákondi ni nídahooł'aahii doo ákódaat'į́į da ?
40:9:015:0	Áádóó Jesus áhodííniid , Iiyehii t'ah hoł naakaigo iigehgi nidahaaskaígíísh yínííł danilį́į doo ? Nidi beidoołkááł , iiyehii hats'ą́ą́' nídidooltéełgo índa dahodísingo doo da'ayą́ą da doo .
40:9:016:0	Diné ła'da ha'éé' haastihgo adańdadit'a'í ániidíígíí doo bidańdazhdidoo'áał da , háálá bidazhdiní'ánígíí bits'ádoodlałgo ha'éé' íídládígíí t'óó yówehda adoodlał .
40:9:004:1	Naat'áanii bitsi' áádóó asdzání Jesus bi'éé' yideelchidii
40:9:017:0	Índa wáin ániidíii tó abid hadaastihii doo biih yikaah da ; ákódziidzaago tó abid dadooldoh , áádóó wáin yóó'íína' doo , áádóó tó abid t'áá ádzaaí dadooleeł , nidi wáin ániidíii tó abid ádaaniidíii biih yikááh , áko t'áá áłah nízaadgóó choo'į́ .
40:9:018:0	Ákót'éego bich'į' yájíłti' , nít'éé' naat'áanii léi' haa níyáago hach'į' nitsidinígo'go ání , Áníídí yee' shitsi' daaztsą́ , nidi tį' ákǫ́ǫ́ diit'ashgo bik'i dah didíílnih , áko hinááh nídoodleeł .
40:9:019:0	Áko Jesus nízhdii'na'go hódahooł'aahii bił bikéé' dashdiikai .
40:9:020:0	Nít'éé' asdzání léi' dił bighá nídiniiltałgo naakits'áadah nááhai lá , éí hane'dę́ę́' niníyáago ha'éé' bijánil yideelchid ,
40:9:021:0	háálá t'áá biyi'ídi ádííniid , Bi'éé' t'éiyá bidinishchid nidi , hadaałt'é ánáshidoodlííł .
40:9:022:0	Nidi Jesus názyizgo honíł'į́įgo áháłní , Shitsi' , nił hózhǫ́ǫ le' ; ne'oodlą' bee doo ánít'éhí da násínídlį́į́' . T'áá áko éí asdzání doo át'éhí da ánábi'diilyaa .
40:9:023:0	Áádóó Jesus éí naat'áanii bighandi jiníyáago dilní bee í'dílzoołí yee nidaanéhígíí áádóó diné áłah silį́'ígíí hahóół'áago jiiłtsą́ ,
40:9:024:0	áko ábizhdííniid , Ch'ínóhkááh ; jó , at'ééd doo daaztsą́ą da , t'óó ałhosh . Nidi t'óó haa daadloh .
40:9:025:0	Áko diné áłah silį́'ígíí ch'íneelkaadgo yah ajííyáago , at'ééd yę́ę bíla' jiiłtsoodgo nídii'na' .
40:9:005:1	Diné doo oo'íinii nidilt'éego oo'į́ ánábi'diilyaa
40:9:026:0	Áko éí kéyah t'áá níłtéél nít'éé' bee baa hane'go nidadeezdláád .
40:9:027:0	Áádóó Jesus joogááł , nít'éé' diné naaki doo oo'į́į́góó hakéé' yi'ashgo , dilwoshgo kóní , David biYe' nílíinii , nihaa jiiníbaah .
40:9:028:0	Áádóó hooghan góne' yah ajííyáago , diné doo oo'íinii haa ní'áázh , áko Jesus áháłní , Díí baa nideeshaałígíísh bíneesh'ą́ągo yinohdlą́ ? Nít'éé' áháłní , Aoo' , Bóhólníihii .
40:9:029:0	Áko kójíníigo bináá' bizhdeelchid , Iinohdlánígíí bik'ehgo nihá ádoonííł .
40:9:030:0	Áko ajoo'į́ ánáhoodlaago Jesus hach'į' haadzíi'go áháłní , T'ááká diné ła' bił bééhoozį́į́' yíila' .
40:9:006:1	Diné doo yáłti'ii yáłti' ánábi'diilyaa
40:9:031:0	Nidi dah dii'áazhgo éí kéyah t'áá níłtéél nít'éé' bee haa ha'niihgo haa nahasne' .
40:9:032:0	Áádóó dashdiikai , nít'éé' diné ła' níłch'i bi'iiníziinii bii' hólǫ́ǫgo doo yáłti' da léi' yił haa daaskai .
40:9:033:0	Áko níłch'i bi'iiníziinii hanoolchą́ą'go , diné doo yáłti' da yę́ę yáłti' silį́į́' , áko diné áłah nilínígíí kódaaníigo t'óó bił adahayóí , Ízrel dine'é bitahgi t'ah doo ákóhánéehgo yiiltséeh da .
40:9:007:1	Jesus éí diné baa a'ááh jiniizį́į́'
40:9:034:0	Nidi Férisii danilíinii ádadííniid , Níłch'i bida'iiníziinii binanit'a'í bibee adziil bee níłch'i bida'iiníziinii hahizhniłkaad lá .
40:9:035:0	Áko nít'éé' kin hadaas'áágóó índa kin naazhjaa'góó t'áá ałtso kéédahat'ínígíí kin yii' áłah nídaadleehí naaznilgóó Jesus nazh'nitingo , áádóó yá'ąąshii bee bóhólníihgo bił haz'áanii baa hane' yá'át'éehii baa hojilne'go , índa diné bitahgóó naałniih bąąh dahólóonii t'áá ałtso , áádóó ka nidaakaígíí t'áá ałtso hadaałt' é áńdajidle'go tázhdííyá .
40:9:036:0	Nidi diné yíl'áhígíí jiiłtsą́ągo baa a'ááh jiniizį́į́' , háálá dibé yaa áhályáanii ádin nahalingo bich'į' nidahwii'ná áádóó t'áadoo bíká oolyeedí da .
40:9:037:0	Áko hódahooł'aahii ábijiní , T'áá íiyisí da'neest'ą́ , nidi da'dooyishii t'áá díkwíí .
40:9:038:0	Éí bąą agizh bee Bóhólníihii bá da'dooyishígíí bidá'ák'ehgóó iidiyooł'aałgi bíká sodadołzin .
