3:13:001:1	Łóód ats'íís yiyáanii bá bee haz'áanii
3:13:001:0	Áko Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ííłní, 
3:13:002:0	Diné ła' bikágí bikáa'gi bąąh hadzííyáago, doodaii' łóód bąąh dah yists'idgo, doodaii' łóód bąąh dah yiigaiigo éí bikágí bikáa'gi łóód ats'íís yiyáanii naałdzidii silį́į'go náá'iiłniihii Éran, doodaii' biye'ké nááda'iiłniihii ła' bich'į' bił dazhdookah. 
3:13:003:0	Áko hats'íís bąąh łódígíí éí náá'iiłniihii háidínóoł'įįł, áko hakágí bąąh łódígi hatáshtł'oh yiigaiigo índa wóyahgo łóodgo éí naałniih łóód ats'íís yiyáanii naałdzidii át'é, áko náá'iiłniihii hazhó'ó honééł'į́į'go, Doo ni'didéeh da lá, hodidooniił. 
3:13:004:0	Nidi hakágí bąąh éí łóód yéego dah yiigaiigo índa doo wóyahgo łóódgóó áádóó ákwii hatáshtł'oh t'áadoo yiigaiigóó éí naałniih hodoolna'ígíí t'áá sahdii tsosts'id yiską́ąjį' náá'iiłniihii hadádi'doołkał. 
3:13:005:0	Áko tsosts'id yiską́ągo náá'iiłniihii nááhodínóoł'įįł; jó, naałniihígíí t'áadoo łahgo ádzaa dago áádóó t'áadoo k'ee'ąą deeshzhiizh dago éí t' áá sahdii tsosts'id náánéiską́ąjį' náá'iiłniihii hadánáádi'doołkał. 
3:13:006:0	Áádóó tsosts'id náánéiską́ągo náá'iiłniihii nááhodínóoł'įįł; éí naałniihígíí t'óó yiijį́į'go hakágí bąąh t'áadoo k'ee'ąą deeshzhiizhgóó éí náá'iiłniihii, Doo ánít'éhí da, hodidooniił, nidi łóód bisgą' t'éiyá silį́į'go ha'éé' jidoogisgo ho'didéeh doo. 
3:13:007:0	Nidi ho'didééh bééhodoozįįł biniyé náá'iiłniihii honééł'į́į́'dóó bik'ijį' halóód nááltseígíí hakágí bii'góó náádees'nii' ládą́ą́' éí náá'iiłniihii nááhodínóoł'įįł. 
3:13:008:0	Áko náá'iiłniihii éí yiyiiłtsą́ągo łóód nááltseígíí hakágí bii'góó náás dees'nii' lágo, Doo ni'didéeh da lá, hodidooniił; jó, éí łóód ats'íís yiyáanii naałdzidii át'é. 
3:13:009:0	Ákohgo diné ła' łóód ats'íís yiyáanii naałdzidii bidoolna'go éí náá'iiłniihii yich'į' hoł dadookah, 
3:13:010:0	áádóó náá'iiłniihii hodínóoł'įįłgo hakágí bikáa'gi bąąh hadzííyáhígíí yiigaiigo áádóó ákwii hatáshtł'oh yiigaiigo índa hąąh hadzííyáhígi łóodgo 
3:13:011:0	éí ałk'idą́ą́' łóód ats'íís yiyáanii hodoolna' yę́ę át'é, áko náá'iiłniihii éí, Doo ni'didéeh da lá, hodidooniił, áko doo t'áá sahdii hadádi'doołkał da, háálá doo ho'díídee' da. 
3:13:012:0	Nidi łóód ats'íís yiyáanii naałdzidii hąąh hazlį́į'go áádóó t'áá át'é łóód ats'íís yiyáanii naałdzidii t'áá hatsiit'áádóó hakétł'áahjį' haa diiłnii'go náá'iiłniihii éí t'áá át'é łigaigo yiyiiłtsą́ągo 
3:13:013:0	náá'iiłniihii éí łóód ats'íís yiyáanii naałdzidii hakáá'góó t'áá át'é hazlį́'ígíí yinééł'į́į'go éí naałniih hodoolna'ígíí, Doo ánít'éhí da, hodidooniił; jó, t'áá át'é łigaii silį́į́' lá, áko ho'didéeh doo. 
3:13:014:0	Nidi hakáá'góó łóód silį́į'go éí doo ho'didoodah da. 
3:13:015:0	Áko náá'iiłniihii éí halódígóó há yidínóoł'įįłgo, Doo ni'didéeh da lá, hodidooniił, háálá díí łóód t'óó baa'ih; łóód ats'íís yiyáanii naałdzidii át'é. 
3:13:016:0	Doodaii' łódígíí łahgo ánáánádzaago łigaii silį́į'go náá'iiłniihii bich'į' náázhdoodááł. 
3:13:017:0	Áko náá'iiłniihii honééł'į́į'go, éí naałniihígíí yiigaiigo yiyiiłtsą́ągo naałniih hodoolna' yę́ę, Doo ánít'éhí da, hodidooniił, áko ho'didéeh doo. 
3:13:018:0	Áádóó ałdó' hats'íís yishch'ozh nít'ée'go yá'át'ééh násdlį́į'go éí t'óó sid nídzoodzíi' dooleeł; 
3:13:019:0	éí jishch'ozhígi łigaigo hąąh hááyáago, doodaii' dinilgaigo, doodaii' dah yiichii'go náá'iiłniihii há yidínóoł'įįł. 
3:13:020:0	Áádóó náá'iiłniihii éí yiníł'į́įgo, jó, łóód haní'íígháázh lá áádóó hatáshtł'oh ákwii dah yiigaiigo náá'iiłniihii, Doo ni'didéeh da lá, hodidoonii ł; jishch'ozhígíí bii'dóó łóód ats'íís yiyáanii naałdzidii hááłnii'ígíí át'é. 
3:13:021:0	Nidi náá'iiłniihii éí yiníł'į́įgo, jó, atáshtł'oh ákwii doo ła' łigaigóó áádóó łóód doo haní'íígháázhgóogo nidi t'áá bíyó dinilzhingo éí náá'iiłniihii tsosts'id yiską́ąjį' t'áá sahdii hadádi'doołkał. 
3:13:022:0	Áádóó hakáá'góó k'ee'ąą deeshzhiizhgo éí náá'iiłniihii, Doo ni'didéeh da lá, hodidooniił; éí naałniih át'é. 
3:13:023:0	Nidi dah yiigaii yę́ę doo k'ee'ąą deeshzhiizhgóogo éí yishch'ozhígíí sid dooleeł, áko náá'iiłniihii, Doo ánít'éhí da, hodidooniił. 
3:13:024:0	Doodaii' t'áá ha'át'éegida ázhdoodlidgo áádóó ázhdoodlidígi dah yiichii'go łóód silį́į'go, doodaii' dah yiigaiigo 
3:13:025:0	éí náá'iiłniihii há yidínóoł'įįł, áko ákwii hatáshtł'oh yiigaiígíí yiníł'į́įgo t'áadoo bahat'aadí łóód haní'íígháazhgo éí ázhdoodlidígíí bits'ą́ą́dóó łóód ats'íís yiyáanii naałdzidii silį́'ígíí át'é; éí bąą náá'iiłniihii, Doo ni'didéeh da lá, hodidooniił; éí łóód ats'íís yiyáanii naałdzidii naałniih át'é. 
3:13:026:0	Nidi náá'iiłniihii éí yiníł'į́įgo, éí łódígi hatáshtł'oh doo ła' yiigaiigóogo áádóó doo haní'íígháázhgóogo, nidi t'áá bíyó dinilzhingo, áko náá'iiłniihii éí tsosts'id yiską́ąjį' t'áá sahdii hadádi'doołkał. 
3:13:027:0	Áádóó tsosts'id yiską́ągo náá'iiłniihii nááhodínóoł'įįł, áko hakáá'góó k'ee'ąą deeshzhiizh lágo éí náá'iiłniihii, Doo ni'didéeh da lá, hodidooniił; éí łóód ats'íís yiyáanii naałdzidii naałniih át'é. 
3:13:028:0	Nidi dah yiigaii yę́ę doo k'ee'ąą deeshzhiizhgóogo, nidi dinilzhingo éí ázhdoodlidígi hadzííyáhígíí át'é; náá'iiłniihii éí, Doo ánít'éhí da, hodidooniił; jó, ázhdoodlidgo hadzííyáhígi t'óó sid dooleeł. 
3:13:029:0	Áádóó diné ła', doodaii' asdzání ła' bitsiits'iin bikáa'gi, doodaii' bidághaatahgi naałniih hazlį́į'go, 
3:13:030:0	éí náá'iiłniihii há yidínóoł'įįł; jó, yiníł'į́įgo t'áadoo bahat'aadí łóód haní'íígháazhgo áádóó ákwii tsiighá t'áá díkwíí łitsogo hadaazt'i'go, áko náá'iiłniihii, Doo ni'didéeh da lá, hodidooniił; éí łóód ats'íís yiyáanii naałdzidii hatsiits'iin bik'i, doodaii' hadághaatahgóó niníkę́ę́z lá. 
3:13:031:0	Nidi náá'iiłniihii éí łóód hak'i niníkę́zígíí yiníł'į́įgo doo t'áá íiyisí haní'íígháázhgóogo áádóó tsiighá doo ła' łizhingóó náá'iiłniihii éí t'áá sahdii tsosts'id yiską́ąjį' hadádi'doołkał. 
3:13:032:0	Áádóó tsosts'id yiską́ągo náá'iiłniihii éí halóód hak'i niníkę́zígíí há néidínóoł'įįł; jó, łóód t'áadoo k'ee'ąą deeshzhiizhgóó áádóó tsiighá doo ła' łitsogóó índa doo haní'íígháázhgóogo 
3:13:033:0	há adoolzhih, nidi halóód hak'i niníkę́zígi doo doolzhih da, áádóó náá'iiłniihii éí halóód hólónígíí t'áá sahdii tsosts'id yiską́ąjį' hadánáádi'doołkał. 
3:13:034:0	Ákohgo tsosts'id yiską́ągo náá'iiłniihii éí halóód hak'i niníkę́zígíí há néidínóoł'įįł; jó'akon, doo k'ee'ąą deeshzhiizhgóogo, doodaii' doo haní'íígháázhgóogo éí náá'iiłniihii, Doo ánít'éhí da, hodidooniił, áko ha'éé' jidoogisgo ho'didéeh doo. 
3:13:035:0	Nidi, Ałtso ni'díídee' lá, ho'doo'niidóó bik'ijį' halóód nááltsei yę́ę t'óó tsé'édinda anáánádzaago 
3:13:036:0	náá'iiłniihii éí nááhodínóoł'įįł; éí łódígíí t'óó tsé'édinda ádzaa lá, ákondi hatsii' yiitsoígíí doo háidídóo'įįł da, háálá doo ho'díídee' da. 
3:13:037:0	Nidi łóód hak'i niníkę́zígíí t'áadoo haa dahoolaagóogo éí tsiighá łizhingo yiníł'į́įgo éí łóód hąąh ásdįįd lá, áko ho'díídee'go náá'iiłniihii, Doo ánít'éhí da, hodidooniił. 
3:13:038:0	Diné, doodaii' asdzání ła' bikágí yistł'ingo ákwii dinilgai silį́į'go 
3:13:039:0	éí náá'iiłniihii há yidínóoł'įįł, áko éí hakágí yistł'inígi doo yéego dinilgaigóó, t'óó ąąh ha'ííjé'ígíí át'é, áko éí ho'didééh át'é. 
3:13:040:0	Diné ła' hatsiits'iin ałtso béét'óodgo bitsii' ádinii jílį́; jó, t'óó ho'didééh át'é. 
3:13:041:0	Áádóó diné ła' hatsiit'áád i'íít'óodgo tsiit'ádii jílį́; jó, t'óó ho'didééh át'é. 
3:13:042:0	Nidi ła'da hatsiits'iin béét'óodgo, doodaii' hatsiit'áád i'íít'óodgo éí dinilchíi'go binídzísgaigo bąąh hááyáhígíí éí łóód ats'íís yiyáanii naałdzidii hatsiits'iin dilkǫǫhígíí bidoolna', doodaii' hatsiit'áád i'íít'ódígi bidoolna'go át'é. 
3:13:043:0	Ákohgo náá'iiłniihii há yidínóoł'įįłgo, jó, hatsiits'iin béét'ódígi, doodaii' hatsiit'áád i'íít'ódígi bąąh hadzííyáhígíí dinilchíi'go binídzísgaigo éí łóód ats'íís yiyáanii naałdzidii ąąh dahoyooł'aałígi át'éii át'é. 
3:13:044:0	Éí łóód ats'íís yiyáanii naałdzidii bee bąąh dah hoo'a'ii dzizlį́į́'; éí doo ho'didéeh da, áko náá'iiłniihii éí, Ts'ídá doo ni'didoodah da lá, hodidooniił; naałniih éí hatsiits'iin bąąh hólǫ́. 
3:13:045:0	Áádóó łóód bee bąąh dah haz'áanii éí bi'éé' bik'i neheesdǫ́ǫz doo áádóó bitsiits'iin nidi doo bik'é'ésti' da doo, índa bidaa' bik'é'ésti'go, Doo shi'díídee' da, doo shi'díídee' da, níigo háádílwosh doo. 
3:13:046:0	Éí yidiiską́ą́góó naałniih bee bąąh dahaz'ą́ągo baa'ihii jílį́į dooleeł; doo bi'díídee'ii jílį́; t'áá sahdii haghan doo; níbaal haal'á bits'áhwiiní'ą́ądi haghan doo. 
