14:10:001:1	Ízrel dine'é nidaastee' nít'éé'
14:10:001:0	Riihobówam éí Shííkem kin haal'áágóó ííyá , háálá Shííkemgi Ízrel dine'é éí aláahgo naat'áanii ádahodoolííł biniyé t'áá át'é neheeskai .
14:10:002:0	Áko Nííbat biye' Jerobówam éí t'ah Ííjip kéyahdi kééhojit'į́įgo díí jíínii' , áko Ííjipdę́ę́' nídzídzá ; jó , Sálaman bits'ąą Ííjipgóó yóó'ajoolwod nít'éé' .
14:10:003:0	Háká ada'as'a'go hágo dahodííniid , áko Jerobówam áádóó Ízrel dine'é t'áá ałtso áłah nilínígíí yíkaigo Riihobówam yich'į' hadaasdzíi'go ádaaní ,
14:10:004:0	Nizhé'é yę́ę nihiyéél nidaazgo áyósin nít'éé' ; éí bąą k'ad , nizhé'é yę́ę bik'ee ti'dahwii'níihgo bá nidasiil'a'ígíí áádóó hééł nidaazgo nihá áyósin nít'éé' yę́ę ászólígo nihá áníléehgo ná nideiil'a' dooleeł .
14:10:005:0	Áko áyidííniid , Táá' yiską́ągo shaa nínáádoohkah . Áko diné anídahaaskai .
14:10:006:0	Áko aláahgo naat'áanii Riihobówam éí hastóí kót'é daaníinii , éí hazhé'é Sálaman yę́ę t'ah hiná yę́ędą́ą́' yidááhdóó naazį́į́ nít'é'ígíí bił baa nídadzist'įįdgo ájíní , Haash yit'éego díí diné bich'į' t'ą́ą́' háádeesdzihgo bee bił nídahodeeshnihígíí bee shił dahołne' ?
14:10:007:0	Áádóó hach'į' hadaasdzíi'go ádaaní , Díí dine'é bich'į' ná'áhwiinít'į́'ígo áádóó bił dahoníshǫ́ǫgo índa saad yá'ádaat'éehii bee bich'į' hahídziih ládą́ą́' ná nidaal'a'í danilį́įgo ahool'áa doo .
14:10:008:0	Áko hastóí danilíinii hach'į' kót'é daaníigo hąąh nideizláhígíí doo bázniizį́į' da , nidi dinééh danilíinii bił dazhneeyáanii bił nabik'íyádajiłti'go hadááhdóó naazį́į́ nít'éé' .
14:10:009:0	Áko ábijiní , Haash yit'éego nabik'íyádasoołti'ii bee díí diné bich'į' bee háádadiidzih ? Éí shich'į' hadaasdzíi'go ádashidííniid , Nizhé'é yę́ę nihiyéél nidaazgo áyósin nít'éé' yę́ę ászólígo nihá ánílééh .
14:10:010:0	Áko dinééh hoł daneeyánígíí hach'į' hadaasdzíi'go ádahałní , Díí dine'é nich'į' hadaasdzí'ígíí kót'éego bich'į' hadíídzihgo kódidííniił , Éí nizhé'é yę́ę nihiyéél nidaazgo áyósin nít'éé' yę́ę ászólígo nihá ánílééh , daniłnínígíí kóbididííniił , Shíláyázhí éí shizhé'é yę́ę biníí' áníłtsááz yę́ę biláahgo áníldíil doo .
14:10:011:0	Índa shizhé'é yę́ę nihiyéél nidaazgo nihá áyósin nít'éé' yę́ę t'ah biláhígi át'éego nihiyéél nidaazgo nihá ádeeshłííł ; shizhé'é yę́ę éí bee atsxis yee atínihił'į́į́ nít'éé' , nidi shí éí séígo' adishish nahalingo shibee atsxis bee atínihish'į́į doo .
14:10:012:0	Ákohgo aláahgo naat'áanii , Táá' yiską́ągo shaa nídoohkah , hałníigo há nihoní'áanii bik'ehgo táá' yiską́ągo Jerobówam áádóó dine'é t'áá ałtso Riihobówam yaa haaskai .
14:10:013:0	Áko aláahgo naat'áanii t'áá na'níle'dii diné bich'į' hadziisdzíí' ; jó , aláahgo naat'áanii Riihobówam éí hastóí kót'é dabiłníí nít'é'ígíí doo yiniizį́į' da .
14:10:014:0	Dinééh danilíinii kót'éego dahałnínígíí bee bich'į' hadzoodzíi'go ájíní , Shizhé'é yę́ę nihiyéél nidaazgo áyósin nít'éé' , nidi shí éí t'ah biláhígi át'éego nihiyéél nidaazgo ádeeshłííł ; shizhé'é yę́ę ałdó' bee atsxis yee atínihił'į́į́ nít'éé' , nidi shí éí séígo' adishish nahalingo bee atsxis bee atínihish'į́į dooleeł .
14:10:015:0	Ákohgo aláahgo naat'áanii éí dine'é doo yiyíists' ą́ą' da ; jó , Diyin God bits'ą́ą́dóó ádzaa , áko Bóhólníihii t'áá bí bizaad éí Sháíloh haz'ánídóó diné nilíinii Aháíjah binahjį' Nííbat biye' Jerobówam yich'į' yee hahaasdzíi'ii bik'eh áhodoonííł .
14:10:016:0	Áko Ízrel dine'é t'áá ałtso éí aláahgo naat'áanii doo hwíists'ą́ą́'góó baa ákodazniizį́į'go diné éí aláahgo naat'áanii ánáádeidoo'niidgo ádaaní , David yę́ę bits'ą́ą́dóó ha'át'íísh nihee dahólǫ́ ? Jésii biye' bits'ą́ą́dóó íí' dooleełii doo ła' nihee hólǫ́ǫ da . Ízrel dine'é danohłíinii , danihiníbaalgóó nídadohkááh . David dine'é danohłíinii , niha'áłchíní náás ahoolchíiłii baa ádahołyą́ . Ákohgo Ízrel dine'é dabiníbaalgóó anídahaaskai .
14:10:017:0	Nidi Ízrel dine'é éí Júdah kin hadaas'áagi kéédahat'ínígíí Riihobówam honant'áá nít'éé' .
14:10:018:0	Ákohgo aláahgo naat'áanii Riihobówam éí Adóram wolyéii naanish bí'nílchééh yinanit'a'í nilíinii ayííł'a'go Ízrel dine'é t'áá ałtso tsé yee nídahoneesne'go hoł nidadzisne' , nidi aláahgo naat'áanii Riihobówam bitsinaabąąs bijáád naakiígíí tsxį́įłgo yiih yíyáago Jerúsalem kin haal'áágóó anííchą́ą́' .
14:10:019:0	Áádóó Ízrel dine'é éí David yę́ę ba'áłchíní náás ahoolchíiłii yich'į' nidaalteehgo díí jį́į́góó ákót'é .
