19:83:001:1	Psalm . lxxxiij .
19:83:002:1	Deus quis similis .
19:83:001:0	DEw nag ymoystega : na thaw-son ac na phait , Ddew .
19:83:002:0	Can ys llyma dy elynion yn dadwrð , ath ddygasogion a godesont y penn y vyny .
19:83:003:0	Dychymygesont gygor dichellgar yn erbyn dy popul , ac ymgycoresont yn erbyn dy rei dirgel .
19:83:004:0	Dywedesont , Dewch a’ thorwn hwy ymaith rac bot yn genedl : ac na choffaer enw Israel mwyach .
19:83:005:0	Can ys cydymgycoresont yn-calon , [ ac] a’ ym-wnaethont ith erbyn .
19:83:006:0	Pepylleu Edom , a’r Ismaleit , Moab a’r Agareit :
19:83:007:0	Gebal ac Ammon , ac Amalek : y Philisteit a’Phreswylwyr Tyrus :
19:83:008:0	Asshur hefyd a ymwascoð ac wynt : buont vraich y blant Lot . Selah .
19:83:009:0	Gwna [ di] I yddwyntmal ir Midianeit : mal i Sisera [ ac] maly Iabin wrth garroc kyson .
19:83:010:0	Wy ðyvethwyt yn Endor , ac oeddent yn dom] ir ðaiar .
19:83:011:0	Gwna hwy , [ sef] ei tywysogion val Oreb a’ ðSeéb : ys ei h’oll dywysogiou mal tSalmanach .
19:83:012:0	Yr ei ðywetsont , Meðiannwn yni gyvanneddeu Dew .
19:83:013:0	A vy-Dew , gwna hwy mal rrot , [ ac] mal y sofl gar bron y gwynt .
19:83:014:0	Megis y tan yn llosci y coet , a’meis y fflamm yn poethy y mynydde :
19:83:015:0	Velly erlid [ ti] hwy ath tempestl , a’ dychryn hwy ath ystorm .
19:83:016:0	Llanw ei h’wynebae a thremic , val y caisiant dy Enw Arglwydd .
19:83:017:0	Cywilydddier hwy a’ chythrudder byth bythawl : ysgwartháer a’ chyvergoller ,
19:83:018:0	Val y gwydyddant mae ti [ yr hwn yw] dy enw Iehováh , wyt yn vnic , ys y Goruchaf ar yr oll ddaiar .
