19:92:001:1	Psalm . xcij .
19:92:002:1	Bonum est confiteri .
19:92:001:0	YS da [ beth] yw clodvori yr Arglwyð , a chanu ith Enw , y Goruchaf .
19:92:002:0	Menegy dy drugaredd y boreu , a’th wirionedd y nosieu ,
19:92:003:0	Ar y dectant , ac ar y nabel , ar y mevyrdot ar y delyn .
19:92:004:0	Can ys [ ti] Arglwydd am llawenéist ath weithrede , [ ac] yn-gwaithieu dy ddwylaw y byddaf hyfryd .
19:92:005:0	Arglwydd , mor vawredic yw dy weithredoedd ? [ a’] gorddwfn yw dy veddyliae .
19:92:006:0	Y gwr andoeth ny wyr hyn , a’r ynvyd ny ddeall hyn yma ,
19:92:007:0	( Pan vlodeuo yr andewolion val y glaswellt , a’ phan vlaguro oll gweithredwyr enwiredd ) val y destruwier hwy byth bythol .
19:92:008:0	A’ thithau Arglwydd , wyt ’oruchaf yn tragywyth .
19:92:009:0	Can ys nacha dy elynion , Arglwyð : can ys nacha , dy elynion y gollir : oll weithredwyr euwiredd a ddestruwir .
19:92:010:0	A’m corn a dderchefi val vnicorn , [ a’] mi enneinir ac oleo irwyrdd .
19:92:011:0	Vy llygat hefyd a wyl [ vy gwynfyd] am vy-gelynion , am clust y glyw [ vy wyllys] ar y drygddynion , a godant yn v’erbyn .
19:92:012:0	Y cyfiawn a vlodeua val palmwydden , ac y gynnyð val y Cedriwydd yn Lebanón .
19:92:013:0	Y sawl y blanwyt yn-tuy yr Arglwydd , y vlodeuant yn neuddae ein Dew .
19:92:014:0	Dygant eto ffrwyth yn [ ei] heneint : tirfion ac iraidd vyddant .
19:92:015:0	Er manegi bot yr Arglwydd vy-craic yn vnion , ac nad [ oes] ynthaw enwiredd .
