44:14:001:1	Aikóniyamgi Paul áádóó Bárnabas naa'aash
44:14:001:0	Áko Aikóniyamgi Jew dine'é bikin bii' áłah nádleeh góne' Paul áádóó Bárnabas yah íí'áazhgo yááłti', áko Jew dine'é índa Gríik dine'é ts'ídá t'óó ahayóí baa yájííłti'ígíí dayoosdląąd. 
44:14:002:0	Nidi Jew dine'é doo da'oodlánígíí éí doo Jew dine'é danilíinii yił hadahoneeshchaadgo, hódeidéé'į́į'go ádayiilaa. 
44:14:003:0	Áko t'áá ákwii dzizkéego t'áadoo dzisti'í Bóhólníihii bá yájíłti'go nízaadgóó nihoolzhiizh. Diyin God bibee adziilii bee béédahózinii áádóó bik'ee t'óó ił ahayóigo ádahooníiłii haa deet'ą́ągo baa nijizh'ázhígíí bee Diyin God bee ajooba' baa hane'ii t'áá aaníí át'éego bééhózingo ájiilaa. 
44:14:004:0	Nidi kin haal'áagi diné yíl'áhígíí ałts'áskai; ła' Jew dine'é yich'ijí daazlį́į́', ła' yil'aadii yich'ijí daazlį́į́'. 
44:14:005:0	Doo Jew dine'é danilíinii índa Jew dine'é ałdó' bindanit'a'í yił lą́ da'asłį́į'go, atíhodi'doolnííł índa hoł nidazdiilniił daniizį́į'go, 
44:14:006:0	éí hoł bééhoozin, áko Likeiyóniya kéyahjį', Lístra índa Dérbii kin haal'áajį' azhnííchą́ą́', áádóó binaagóó tázhdíí'áázh, 
44:14:002:1	Lístragi Paul bił nidzílne'
44:14:007:0	áko ákwe'é hane' yá'át'éehii baa nahodzisne'. 
44:14:008:0	Íídą́ą́' Lístragi diné léi' ła' sidáá lá, éí bijáád doo hináa da; naaljį́į́d jílį́įgo ho'dizhchį́, áko ts'ídá t'ah doo jidigháah da. 
44:14:009:0	Éí Paul yáłti'go jidiizts'ą́ą́', áko Paul ayóogo honíł'į́įgo hadaałt'é ánáhodidoolníłígíí joodlą́ągo yaa ákoniizį́į́'. 
44:14:010:0	Áko yéego haadzíi'go ání, K'ésínídongo yiizįįh. Áko náhizhdiitahgo dashdiiyá. 
44:14:011:0	Diné yíl'áhígíí Paul yaa naayáhígíí dayiiłtsą́ągo, Likeiyóniya bizaad yee yéego hadaasdzíi'go ádaaní, Diyin, dinégi ánoolnin léi' nihich'į' hadáá'áázh lá. 
44:14:012:0	Bárnabas éí Júpiter yee dayíízhi', índa Paul éí aláahgo yájíłti'ígíí bąą Mérkurii yee dahóózhi'. 
