3:27:001:1	Diyingo nidahidit'aahii bibee nahaz'áanii
3:27:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní, 
3:27:002:0	Ízrel dine'é bich'į' handziihgo kóbidiní, Diné ła' t'áá bí ádá ádee hadidoodzihgo Bóhólníihii yaa ádidoot'áałgo éí bą́ą́h aníłį́įgo bee hosíníł'ánígíí bik'ehgo ni'doolééł. 
3:27:003:0	Bą́ą́h aníłínígíí éí diné naadiin béédááhaidóó hastą́diin béédááhaijį' béésh łigaii shékel wolyéii ashdladiin éí hodiyingo haz'ą́ą́ góne' shékel choo'íinii bíighahgo nidahizhdoolééł, 
3:27:004:0	áádóó asdzánígo éí bą́ą́h aníłínígíí bik'ehgo tádiin shékel wolyéii bíighahgo niidoolééł. 
3:27:005:0	Áádóó tsíłkéí bich'į'go ashdla'dóó naadiinjį' béédááhaígíí éí naadiin shékel bą́ą́h aníłį́į doo, índa ch'ikę́ę́h bich'į'go éí neeznáá shékel bą́ą́h aníłį́į doo. 
3:27:006:0	T'ááłá'í bee nídeezidóó ashdla' binááhaijį' ashkii bich'į'go éí béésh łigaii ashdla' shékel wolyéii bą́ą́h aníłį́į doo; at'ééd bich'į'go éí táá' shékel bą́ą́h aníłį́į doo. 
3:27:007:0	Hastą́diindóó dego binááhaigo diné bich'į'go éí ashdla'áadah shékel bą́ą́h aníłį́į doo; asdzánígo éí neeznáá shékel bą́ą́h aníłį́į doo. 
3:27:008:0	Nidi hahojoobá'ígo bą́ą́h aníłínígíí bi'osh'neel'ą́ągo éí náá'iiłniihii baazhdoogáałgo hą́ą́h ílį́į́ góne' há niididoo'ááł; éí bízhneel'ánígíí bik'ehgo bee ádee hadzoodzíi'ii nizh'doolééł. 
3:27:009:0	Áádóó naaldlooshii t'áá ałtso éí Bóhólníihii yich'į' náádayiiłniihii éí ła' háiida Bóhólníihii yaa neidii'aahígíí t'áá ałtso dílzin doo. 
3:27:010:0	Áko díí bitsásk'ehjį' doo ła' anízhdoołteeł da; yá'át'éehii áádóó doo yá'át'éehii doo bił ałgháázhdooltéeł da, índa doo yá'át'éehii áádóó yá'át'éehii doo bił ałgháázhdooltéeł da, ákódziidzaago naaldlooshii ałgháá'jíltį́įgo éí t'áá áłah dílzin dooleeł. 
3:27:011:0	Áádóó naaldlooshii doo daadáanii éí doo Bóhólníihii bich'į' nááhidoonihii át'éhígíí éí náá'iiłniihii baazdoolóós, 
3:27:012:0	áko náá'iiłniihii éí naaldlooshii yá'ádaat'éehii, doodaii' doo yá'ádaat'éehii bą́ą́h ílį́ yee hadoodzihgo bik'ehgo bą́ą́h ílį́į doo. 
