3:16:001:1	Ádił oodzíí' k'ééhodoodǫǫłjí yoołkáłígíí
3:16:001:0	Bóhólníihii éí Mózes yich'į' haadzíí'; Éran haye' nidilt'éego hats'ą́ą́' neezná; éí Bóhólníihii yinááł náá'iisnii'go neezná. 
3:16:002:0	Áko Bóhólníihii éí Mózes ííłní, Nik'is Éran bich'į' handziih, Dáádiníbaal bine'jí ts'ídá aláahgo hodiyingo haz'ání góne' tsits'aa' dílzinii bikáa'gi aa a'ááh hasinii bił haz'áníjį' doo t'áá áłahjį' yah aníjídáah da doo, áko doo dazdootsaał da, háálá aa a'ááh hasinii bił haz'ání bik'igi k'os biyi'jį' yit'íní íní'diish'įįh doo. 
3:16:003:0	Díigi át'éego Éran éí hodiyingo haz'ą́ąjį' yah aníjídáah doo; dóola yázhí éí ádił ni'iidzííhjí nááhániihii át'éego áádóó deenásts'aa' éí didlidgo nááhániihii át'éego nínéidii'ish doo. 
3:16:004:0	Éé' nineezígíí na'at'ą́hí łigaii dits'idgo bee ályaii dílzinii biih níjídáah doo; t'áá éí bee tł'aaji'éé' ályaii biih níjít'is doo, áádóó t'áá éí bee sis ályaii bee áká nídzílzis doo, índa t'áá éí bee ch'ah dijoolí ályaii hach'ah áńjiil'įįh doo; díí éé' dílzinii ádaat'é; éí bąą Éran tá'ánídígisgo yee háádiit'įįh doo. 
3:16:005:0	Áádóó Ízrel dine'é dah yinééł bits'ą́ą́dóó tł'ízíchǫǫh naakigo éí ádił ni'iidzííhjí nááhániihii át'éego áádóó deenásts'aa' t'ááłá'ígo éí didlidgo nááhániihii át'éego nínéidii'ish doo. 
3:16:006:0	Áko Éran náázhdi'yoołnihgo éí dóola yázhí ádił ni'iidzííhjí nááhániihii át'éego t'áá hó ádá índa ha'áłchíní ałdó' bá bee k'ééhojoołdǫǫłgo náájiiłniih doo. 
3:16:007:0	Áádóó tł'ízí naakigo nínéidii'ishgo níbaal bii' dahozdísinii bich'éédą́ą' gi Bóhólníihii binááł ninéi'ish doo. 
3:16:008:0	Áko Éran éí tł'ízí t'áá áłah yiniyé yáá'iilt'e' ánáyiil'įįh doo; kódzaago ła' Bóhólníihii bí doo; ła'ígíí éí bééhidichídígíí át'ée doo. 
3:16:009:0	Áádóó Éran éí tł'ízí néidiidlóosgo biniyé yáá'iilt'e' ánáyiil'įįhgo Bóhólníihii bíhígíí néidiiyoołnihgo ádił ni'iidzííhjí nááhániihii át'éego nááyiiłniih doo. 
3:16:010:0	Nidi tł'ízí bééhidichííd biniyé nídiiltínígíí éí t'áá hináago Bóhólníihii binááł néidiidlóosgo yee k'ééhoołdǫǫł doo, áádóó índa honoojíígóó bihidichíid doo. 
3:16:011:0	Áádóó Éran éí dóola yázhí ádá néidiidlóosgo ádił ni'iidzííhjí nááhániihii át'éego éí t'áá bí ádá áádóó ba'áłchíní ałdó' yá yee k'ééhoołdǫǫł doo biniyé dóola yázhí ádił ni'iidzííhjí nááhániihii át'éego ádá náyiilyéeh doo. 
3:16:012:0	Éran éí tsin bijeeh dilidgo łikání halchinii bee naakáhígíí bii' tsííd hadeezbingo bikáá' náá'iiniihí si'ánídóó Bóhólníihii binááł néidiikáah doo, índa tsin bijeeh dilidgo łikání halchinii áłts'íísígo yitseedígíí bílák'ee hadeezbingo néidiijihgo aláahgo hodiyingo haz'ání góne' yah anéíkáah doo. 
3:16:013:0	Áádóó Bóhólníihii binááł tsin bijeeh dilidgo łikání halchinii kǫ' bikáa'gi néidiłi' doo, áko neeznáago bik'eh ó'oo'níiłii bee bééhániihii bikáa'gi aa a'ááh hasinii bił haz'ánígi tsin bijeeh dilidgo łikání halchinii bilid hach'ą́ą́h aná'ájoł, ákót'éego doo dazdootsaał da. 
3:16:014:0	Áádóó dóola yázhí bidił ła' néidiikáahgo aa a'ááh hasinii bił haz'ánígi ha'a'aahdę́ę'go éí dił yik'ínéíłtah doo, áádóó aa a'ááh hasinii bił haz'ání bitsį́įjį' tsosts'idi dił yik'ínéíłtah doo. 
3:16:015:0	Áko tł'ízí nááyiilyéehgo ádił ni'iidzííhjí nááhániihii át'éego Ízrel dine'é yá nááyiiłniih doo; aláahgo hodiyingo haz'ání góne' bidiłígíí yah anéíkáah doo, áádóó dóola yázhí bidił áyiilaaígi át'éego aa a'ááh hasinii bił haz'ání bikáa'gi áádóó aa a'ááh hasinii bił haz'ání bidááhdę́ę'go bitsį́įjį' yik'ínéíłtah doo. 
3:16:016:0	Áádóó aláahgo hodiyingo haz'ą́ągi bee bá k'ééhoodǫǫłii ánáyiil'įįh doo, háálá Ízrel dine'é doo bida'didééhgóó áádóó bee haz'áanii nidayiitíihgo t'áá át'é yee ádił nida'iilzííh, índa níbaal bii' dahozdísinii ałdó' Ízrel dine' é doo bida'didéehii bitahgi si'ą́. 
3:16:017:0	Áko diné doo ła' níbaal bii' dahozdísinii góne' yah azhdoogáał da; Éran éí aláahgo hodiyingo haz'ání góne' bee k'ééhoodǫǫłii ííléehgo ch'ééhédáahgo índa t'áá bí ádá áádóó ba'áłchíní bá índa Ízrel dine'é dah yinéłígíí t' áá át'é bá k'ééhoodǫǫłii ánáyiil'įįh doo. 
3:16:018:0	Éran éí Bóhólníihii binááł bikáá' náá'iiniihí si'áníjį' ch'ééjídáahgo bikáá' náá'iiniihí bá k'ééhoodǫǫłii áńjiil'įįh doo, áádóó dóola yázhí índa tł'ízí bidił ła' náázhdiikáahgo éí bikáá' náá'iiniihí bidee' dį́į́'góó deez'áhígíí bąąh áńjiil'įįh doo. 
3:16:019:0	Áádóó dił yiih nídílchi'go ła' bikáá' náá'iiniihí yik'ijį' tsosts'idi iidoołtahgo yi'diłdéeh doo áádóó diyingo nideet'ą́ągo Ízrel dine'é doo bee bi'didéehii yits'áyiiłdóoh doo. 
3:16:020:0	Áko aláahgo hodiyingo haz'ánígíí áádóó níbaal bii' dahozdísinii índa bikáá' náá'iiniihí ałtso bá k'énínáhojiłdǫǫhgo tł'ízí t'áá hináago néidiidlóos doo. 
3:16:021:0	Áádóó Éran bíla' t'áá ałch'ijí yee tł'ízí t'áá hináago bitsiit'áagi dah nídílnihgo bitsiit'áagi Ízrel dine'é doo ákwii ádáát'įįdígíí t'áá át'é áádóó bee haz'áanii nidayiitíihgo t'áá át'é yee ádił nida'iisdzí'ígíí bee bá ádaa nináhojilnihgo tł'ízí bitsiit'áagi kóníjiil'įįhgo bił béé'jíłnih doo, áko diné ła' yiniyé hasht'e'ání'diil'įįhígíí honoojíígóó anéídlóos doo. 
3:16:022:0	Áko doo ákwii ádajíít'įįdígíí t'áá át'é tł'ízí bik'éé diit'áahgo doo na'adáhígóó yił anádáah doo, áko diné éí tł'ízí dah néidiidlóosgo honoojíidi yéidichi' doo. 
3:16:023:0	Áádóó Éran éí níbaal bii' dahozdísinii góne' yah anádáahgo na'at'ą́hí łigaii dits'idgo bee éé' ályaii yiih nádáahgo aláahgo hodiyingo haz'ání góne' yee yah anádááh yę́ę háidii'niłgo t'áá ákóne' ninéi'nił doo. 
3:16:024:0	Ákohgo hodiyingo haz'ánígi tá'ánídígisgo bi'éé' yiih nádáah doo áádóó ch'ééhédáahgo náádi'yoołnihgo didlidgo nááhániihii ádá nááyiiłniih doo, índa didlidgo nááhániihii diné yá nááyiiłniih doo; kót'éego t'áá bí ádá índa diné yá k'ééhoołdǫǫł doo. 
3:16:025:0	Ádił ni'iidzííhjí nááhániihii bik'ah éí bikáá' náá'iiniihí yikáa'jį' néidiłi' doo. 
3:16:026:0	Diné éí tł'ízí nii'ohdi yéidichi'ii éí bi'éé' náyiigis doo áádóó ninábeehgo níbaal haal'áajį' nináhádáah doo. 
3:16:027:0	Áádóó dóola yázhí ádił ni'iidzííhjí nááhániihii át'éego índa tł'ízí ádił ni'iidzííhjí nááhániihii át'éego nááhaaznii'ii éí bidił yah anákáahgo aláahgo hodiyingo haz'ánígi bee k'ééhoodǫǫłii éí níbaal haal' á bits'áhwiiní'ą́ą́góó anájihgo bikágí áádóó bitsį' índa bichaan t'áá bił áadi nídeidiłi' doo. 
3:16:028:0	Áko diné éí ní'díłi'ígíí bi'éé' náyiigis doo áádóó ninábeeh doo índa níbaal haal'áajį' nínáhádáah doo. 
3:16:029:0	Díí yee nihoní'áanii ahóyéel'áágóó nihá át'ée doo: tsosts'id nídízííd binih neeznáá jį́į́ góne' doo adą́ą́góó nihii' naazíinii dahodísingo sohodizin áń'daał'įįh doo índa t'áá ha'át'éegoda doo nidoołnish da; t'áá nihikéyahdóó danilíinii, doodaii' dé'éyóní t'óó átsééd nihitahgóó kéédahat'íinii bił ákódaaht'į́į doo. 
3:16:030:0	Jó, éí bijį́ náá'iiłniihii á bee k'ééhoodǫǫłii nihá nááyiiłniihgo doo nihąąh chinígóó ánihizhdoolííł, áko ádił nida'iyoosí'ígíí t'áá át'é Bóhólníihii binááł ałtso nihąąh táázdoogis. 
3:16:031:0	Háá'áyį́į́h jį́ nihá át'ée doo; doo adą́ą́góó nihii' naazíinii dahodísingo sohodizin áń'daał'įįh dooígíí yee nihoní'ą́ągo ahóyéel'áa doo. 
3:16:032:0	Áko náá'iiłniihii éí Éran ak'ah hak'i yeidooziłgo hóósį́į'go áádóó diyingo bits'ąą hasti'ii jílį́įgo nijil'a' doo biniyé hazhé'é bitsásk'ehgi náá'iiłniihii jílį́įgo bee k'ééhodoodǫǫłii áńjiil'įįh doo áádóó na'at'ą́hí łigaii dits'idgo bee éé' ályaii dílzinii bee háázhdiit'įįh doo. 
3:16:033:0	Aláahgo hodiyingo haz'áanii bá, áádóó níbaal bii' dahozdísinii áádóó bikáá' náá'iiniihí bá k'ééhodoodǫǫłii áńjiil'įįh doo, áádóó nááda'iiłniihii índa Ízrel dine'é t'áá át'é bá k'ééhodoodǫǫłii áńjiil'įįh doo. 
