6:13:001:1	Kéyah hóó' dadooleełígíí
6:13:001:0	Íídą́ą́' Jáshowa lą'í binááhaigo bi'niitihgo, áko Bóhólníihii ábidííniid, T'áá íiyisí hasínítih áádóó t'óó ahayóí ninááhai, ákondi kéyah íí' dadooleełii lą'í daadziih. 
6:13:002:0	Díí kéyah t'ah daadziih: éí Filístiya dine'é bikéyah t'áá át'é áádóó Gíísher dine'é bikéyah t'áá át'é 
6:13:003:0	éí Ííjip kéyah ha'a'aahjígo Sháíhar haz'ánídóó, náhookǫs bich'į'go Ékran kéyah hoodzojį'; éí Kéínan dine'é bígo baa nitsáhákees, áádóó Filístiya dine'é aláahgo binanit'a'í ashdlalt'éego bikédaayah, éí Géíza dine'é, Áshdad dine'é, Áshkelan dine'é, Gath dine'é índa Ékran dine'é aláahgo binanit'a'í danilíinii bikédaayah, áádóó Éívim dine'é bikéyah náhásdzooígíí ałdó' 
6:13:004:0	shádi'áahjigo Kéínan dine'é bikéyah t'áá át'é, áádóó Mii'éírah hoolyéhígíí éí Sáídan dine'é daabíhígíí, Éífekgóó Ámor dine'é bikéyah hoodzojį' 
6:13:005:0	áádóó Gííbal dine'é bikéyah áádóó Dził Lébanan ní'áhígíí t'áá át'é, ha'a'aah bich'į'go Dził Hérman bitsį́įgi Béíyal-géed kin shijaa' áádóó Héímathjį' ahóót'i'ígíí bíighahgo. 
6:13:006:0	Dził Lébanan si'ánídóó kéyah aghá dahaz'áágóó kéédahat'íinii t'áá ałtso Mísrefath-méíyim kin shijaa'jį' éí t'áá át'é Sáídan dine'é t'ah daadziih. Ízrel dine'é danilíinii bilą́ąjį' éí t'áá ałtso ch'ídínéeshkał, ákondi Ízrel dine'é éí kéyah bíí' dadooleeł biniyé nich'į' bee haasdzí'ígi át'éego bá ałts'ádadíízo. 
6:13:002:1	Kéyah éí Manáseh áádóó Rúben índa Géed bá ats'ádeet'ánígíí
6:13:007:0	Éí bąą k'ad díí kéyah bíí' dadooleeł biniyé náhást'éiigo dadine'é índa Manáseh dine'é ałníí'dóóígíí bá ał ts'ádadíízo. 
6:13:008:0	Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí kéyah yił bíí' daazlį́į'go éí Mózes beidiní'ą́; Jórdan tooh wónaanídi ha'a'aahjigo Mózes éí Bóhólníihii yá naal'a'í nilį́įgo haidiní'áanii hóó' daazlį́į́'. 
6:13:009:0	Árnan tooh bibąąhgóó Aró'er kin haal'áádóó áádóó yíldzis ałníi'gi kin haal'áádóó áádóó Médiiba dzígaigóó t'áá át'é Dáíban bíighahjį', 
