18:31:001:1	Job , T'áá ákogi ánísht'é , níigo yáłti'
18:31:001:0	Shináá' t'éiyá bee nísh'į́į dooleełii nidiní'ą́ , áko ha'át'éegoshą' ch'ikę́ę́h ła' bidáneeshníi doo ?
18:31:002:0	Diyin God yót'ááhdę́ę́' hólóonii ha'át'íí ach'į' niidoolééł ? Aláahgo Ayóó'ábóodziilii agháníhóó'áadi hólóonii ha'át'íishą' aididoo'ááł ?
18:31:003:0	Da' diné doo yá'áshónígi áát'įįdígíísh doo atíbidi'doolníił da ? Da' diné doo ákwii ádaat'íiniísh doo ayóó ábidi'doolníił da ?
18:31:004:0	Da' Diyin God éí yishááłgóósh doo yoo'į́į da , índa nihidishtaałígíísh doo t'áá ałtso yółta' da ?
18:31:005:0	Shina'adlo'go daats'í hinishnáá nít'éé' , éí doodaii' tsxį́įłgo ina'ashło'go niséyáá ládą́ą́' ,
18:31:006:0	háni'dii bee dah nídiidlohí doo bina'adlo'ii bee shééhodoozįįł , áko doo shina'adlo'góó Diyin God bił bééhodoozįįł .
18:31:007:0	T'áá ákóne' ásht'į́įgo bits'á níyáagoáádóó bidánáneeshnihii t'éí shíni' nilį́įgo yisháałgo , ádił ni'iidzííh ła' t'áá shii' hólǫ́ǫ́ ládą́ą́' ,
18:31:008:0	háni'dii k'éédíshdléehgo náánáła' diné nídeidį́įh doo ; t'áá aaníí shá nidanise'ii háni'dii hadahólts'ǫǫd .
18:31:009:0	Asdzání shíni' áhoolaago , doodaii' bił kééhasht'íinii bich'é'étiindóó baa hííníshdáá nít'ée'go ,
18:31:010:0	háni'dii she'asdzą́ą́ náánáła' diné yá ak'áa doo , índa háni'dii náánáła' diné yił nídabiilkááh .
18:31:011:0	Jó , ákóhoodzaago t'áadoo hasohnáhodiiníbézhígóó ádił oodzíi' dooleeł ; t'áá aaníí doo ákwii ádajíít'įįdígíí ándahwii'aahii atídahodoolííł .
18:31:012:0	Háálá atí'oolníiłjį' kǫ' ałtso idi'doołk'ą́ąłii át'é ; shee nihwiileehii ałtso shits'ą́ąjį' kódaalne' doo nít'éé' .
18:31:013:0	Diné shá naal'a'í , doodaii' asdzání shá naal'a'í bi'diił'áhígíí biniinaashik'éhá'áahgo bá baa nídéesht'įįłgi doo niizį́į́'góogo ,
18:31:014:0	áko Diyin God shá nihodoo'ááł biniyé nídiidzáago haa deeshnííł ? Shaa honíle'goshą' ha'át'íí bidideeshniił ?
18:31:015:0	Da' doósh Diyin God áshiilaago iishch'id biyi' nishiníłtínígíí áhoolaa da ? Da' doósh t'ááłá'ígíí t'áá áníidla t'áá ał'ąą nihimá biishch'id biyi'di ánihiilaa da ?
