23:44:001:1	Bóhólníihii t'éiyá Diyin God nilį́
23:44:001:0	Éí ákót'ée nidi, k'ad shííníłts'ą́ą́', Jéíkab shá naal'a'í nílíinii índa Ízrel nídiiłtíinii nílíinii, 
23:44:002:0	Bóhólníihii Ániilaii índa t'áá iishch'id biyi'dę́ę́' hasht'eniilaii éí níká adoolwołii ání, T'áadoo nił yé'í, Jéíkab shá naal'a'í nílíinii, índa Jéshuran nídiiłtíinii nílíinii. 
23:44:003:0	Háálá dibáá' nilíinii tó bik'i yeideesił áádóó ni' hóółtseiigi tó dooląął; na'áłchíní shiNíłch'i łą́ągo baa dideesh'ááł índa nits'ą́ą́dóó yichíiłii bik'ihojidlíi doo, 
23:44:004:0	áádóó tł'oh bitahgi tó danílį́ bibąąhgi k'ai' haníísánígíí nahalin doo. 
23:44:005:0	Ła' ádidooniił, Shí Bóhólníihii bíí' nishłį́, áádóó náánáła' éí Jéíkab bízhi' yee ádójíi doo, índa náánáła' éí bíla' yee na'azogo Ízrel yee ádójíigo Bóhólníihii bíí' nishłį́, níi doo. 
23:44:006:0	Ízrel binanit'a'í nilíinii Bóhólníihii, éí bik'é niná'ídláii t'áá ałtsoní bee Bóhólníihii ání, Shí átséhígíí áádóó akéédę́'ígíí nishłį́, áko diyinii doo ła' nááhódlǫ́ǫ da. 
23:44:007:0	Ałk'idą́ą́' dine'é ninínildą́ą́' ásht'ínígi át'éego ła'ísh hadoodzihgo yee nihodoo'ááł áádóó hasht'esinilgo shá íidoolííł? Bíni'dii t'áadoo le'é ádahodooníiłii áádóó baa dahodoolzhishii yee yił dahodoolnih. 
23:44:002:1	Eda'alyaii bich'į' nahadlá t'óó áhodiigis át'é
23:44:008:0	T'áadoo nił yé'í, t'áadoo nidi náníldzidí; íídą́ą́' doósh haasdzíi'go nił hweeshne' da? Shá oo'íinii danohłį́. Da' diyiniiísh ła' nááhódlǫ́? T'áá aaníí, diyinii doo ła' nááhódlǫ́ǫ da; doo ła' shił bééhózin da. 
23:44:009:0	Eda'alyaii ádeił'ínígíí éí t'áá ałtso t'áadoo biniyéhí da áádóó ayóogo bił da'ílínígíí doo bee bá ída'iideeł da; bá dahalne'ígíí doo da'oo'į́į da, índa doo bił éédahózin da, áko baa yádahodoosįįł. 
23:44:010:0	Háishą' eda'alyaii, doodaii' doolyį́į'go eda'alyaii t'áadoo biniyéhí daígíí áyiilaa? 
23:44:011:0	Jó, bich'į' nidahałáii t'áá ałtso yádadínóozįįł, áko ádabiilaii éí t'áá diné ádaat'į́; bíni'dii áłah daaleehgo deizįįh; bił daayée'go ahił ádaa yádandzin doo. 
23:44:012:0	Atsidii éí tsénił bitsiits'iin tsííd biyi'dę́ę́' hanéí'áahgo bibee atsidí yee hasht'e'niyé'éłne'go bigaan bidziilii yee atsid; t'áá aaníí, dichin nilį́įgo bidziilii nihiniłnééh; tó doo yidlą́ą́góó bił ch'aanáhádleeh. 
