9:6:001:1	Filístiya dine'é éí tsits'aa' dílzinii t'ą́ą́' yił áńdahodlaa
9:6:001:0	Bóhólníihii bitsits'aa' dílzinii éí Filístiya dine'é bikéyahdi si'ą́ągo tsosts'id nídeezid. 
9:6:002:0	Áádóó Filístiya dine'é bidiyin yich'į' nááda'iiłniihii índa diné náásgóó ádahodooníiłii yaa dahalne'ii yíká ada'as'a'go ádaaní, Bóhólníihii bitsits'aa' dílziniishą', haa dadiilnííł? Haaléit'éego t'áá bá haz'ą́ą́góó t'ą́ą́' áńdadiilnííł lá? Éí bee nihił dahołne'. 
9:6:003:0	Áko ádaaní, Ízrel dine'é biDiyin God bitsits'aa' dílzinii t'ą́ą́' áńdaahdlééh ládą́ą́' t'ááká nááhániihii t'áágééd t'ą́ą́' áńdaohdlééh lágo, nidi ííshją́ą́ doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii bił t'ą́ą́' áńdadoohdlííł. Ákohgo hadaałt'é nídadoohdleeł, áádóó biniinaa Bóhólníihii bibee atí'él'íinii doo nihits'ą́ąjį' kónéhígíí nihił béédahodoozįįł. 
9:6:004:0	Áko ádaaní, Ha'át'íí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii shį́įshą' Bóhólníihii bich'į' náádahidiilnih? Áko ádadííniid, Óola bee ch'ozh ashdla'go áádóó na'ats'ǫǫsí ashdla'go bééda'alyaii, t'áá Filístiya dine'é binanit'a'í ánéelt'e'ígíí bik'ehgo bich'į' náádahidiilnih, háálá t'ááłá'í bee atí'él'ínígíí nihí t'áá ánółtso nihinanit'a'í bił nihitah níłnii'. 
9:6:005:0	Éí bąągo ííshją́ą́ ch'ozh áádóó na'ats'ǫǫsí éí kéyah dayííłchxǫ'ígíí ádá bééda'doohdlííł, áádóó Ízrel dine'é biDiyin God baa dahohniih; eii shį́į́ áko Bóhólníihii bibee atí'él'íinii nihits'ą́ąjį' kwíidoolííł, índa nihidiyin danilíinii áádóó nihikédaayah ałdó' bits'ą́ąjį' kwíidoolííł. 
9:6:006:0	Ha'át'éegoshą' nihijéí daołtł'is? Jó, Ííjip dine'é áádóó Féro bijéí dayííłtł'is yę́ęgi ádaoht'į́. Shą́ą́', Bóhólníihii hatahgóó t'óó bik'eda'ayóii yaa naayáago Ízrel dine'é bééda'dzisnii'go dah diiná. 
9:6:007:0	Éí bąągo k'ad tsinaabąąs naaldlózígíí ádadoohłííł áádóó béégashii néi'nihí naakigo t'ah doo bizéédéetįįhígíí éí tsinaabąąs naaldlózígíí bighą́ą́h didoohnił, nidi biyázhí éí hooghangóó bits'ą́ą́' nídadooh'ish. 
9:6:008:0	Áádóó Bóhólníihii bitsits'aa' dílzinii nídooh'aahgo tsinaabąąs naaldlózígíí biih woh'aah, áádóó óola bee bééda'alyaii éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii Bóhólníihii bich'į' náádahidoołnihígíí éí tsits'aa' biyi'ígíí tsits'aa' dílzinii bíighahgi ninoh'aah. Áádóó bił dah nídi'doobąs biniyé bééda'doołnih. 
9:6:009:0	Áádóó t'áá danół'į́; t'áá daats'í bí bikéyahjigo Beth-shíímesh kin shijaa'góó nídoodleeł, áádóó índa ayóó át'éego atínihiilaii éí bí át'į́įgo nihił béédahodoozįįł, nidi doo bí át'į́į́góó bí doo atínihiilaagóó nihił béédahoozingo éí t'óó nihich'į' ákóhóót'įįd dooleeł. 
9:6:010:0	Áko diné ákódaadzaago béégashii néi'nihígíí naakigo bizéé'dazdeeztą́ągo tsinaabąąs naaldlózígíí bighą́ą́h dazdeeznil, áádóó biyázhí éí t'áá hooghandi yah adadziznil. 
9:6:011:0	Áádóó Bóhólníihii bitsits'aa' dílzinii áádóó óola bee na'ats'ǫǫsí índa ch'ozh bééda'alyaii tsits'aa' bee tsinaabąąs biih dadziz'ą́. 
9:6:012:0	Áádóó béégashii áníigo t'áá k'éhézdon Beth-shíímesh kin shijaa' bich'į' atiingóó oołbąs, t'áadoo nidi nish'náajigo, doodaii' nishtł'ajigo kódzaa da, áádóó Filístiya dine'é binanit'a'í Beth-shíímesh kin shijaa' bihoodzojį' yikéé' niikai. 
9:6:013:0	Íídą́ą́' Beth-shíímesh dine'é éí yíldzis góyaa dáda'ak'ehgi tł'oh naadą́ą́' deiyizh, áádóó hadaazghal nít'éé' tsits'aa' dílzinii bił ná'oobąsgo dayiiłtsą́, áko yaa bił dahóózhǫǫd. 
9:6:014:0	Díí tsinaabąąs Beth-shíímeshdóó diné, Jáshowa wolyéii, bidá'ák'ehgi tsé ayóó áníłtso si'ánígi ni'níbą́ą́z, áádóó tsin neheeshjíí' tsinaabąąs bee ályaii nidayiizti'go yee dadeideeshjéé', áádóó béégashii nideistseedgo Bóhólníihii bich'į' didlidgo náádayiisnii'. 
9:6:015:0	Áádóó Líívai dine'é éí Bóhólníihii bitsits'aa' dílzinii áádóó éí bíighahgi óola bee bééda'alyaii tsits'aa' biyi' sinilígíí adadeiz'ą́ągo, tsé ayóó áníłtsoii yikáa'gi dah deiznil, áko Beth-shíímesh dine'é éí didlidgo náádahaniihii índa náádahidoonihgo náádahaniihii t'áá éí bijį́ Bóhólníihii yich'į' náádayiisnii'. 
9:6:016:0	Ákohgo Filístiya dine'é binanit'a'í ashdlalt'éego éí dayiiłtsą́ągo t'áá éí bijį́ Ékran kin haal'áágóó anáákai. 
9:6:017:0	Díí óola bee ch'ozh bééda'alyaii éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'éego Filístiya dine'é éí Bóhólníihii yich'į' náádayiisnii'ii át'é: ła' éí Áshdad kin haal'áii bá, ła' éí Géíza kin haal'áii bá, ła' éí Áshkelan kin haal'áii bá, ła' éí Gath kin haal'áii bá, ła' éí Ékran kin haal'áii bá náádayiisnii'. 
