25:2:001:1	Bóhólníihii éí Záíyan yínííł nilį́įgo ííł'į́
25:2:001:0	Dooládó' Bóhólníihii báhóóchįįdígíí k'osgi át'éego Záíyan bich'é'é bik'i diilkǫ' da áádóó Ízrel dine'é yee baa dzólníí nít'éé' yę́ę yá'ąąshdę́ę́' hadah ahoolghan da índa Bóhólníihii báhóóchįįdígíí biniinaa bibik'i dah adées'eezii doo yénáálnii' da !
25:2:002:0	Bóhólníihii éí doo aa a'ááh niizį́į́'góó Jéíkab dine'é kéédahat'į́į́ nít'éé' yę́ęgi ałtso é'ésdįįd , índa báhóóchįįdgo Júdah bitsi' yine' naadzi' yę́ę ałtso naa'ayiistł'ííd , áádóó óhólníihgo haz'ą́ą́ nít'éé' yę́ę índa binanit' a'í danilį́į́ nít'éé' yę́ę ałtso yiyííłchxǫ' .
25:2:003:0	Báhóóchįįdígíí bee bił halchxíi'go Ízrel dine'é yee bidziil yę́ę ałtso yiyííłchxǫ' índa bíla' nish'náájí yee doo ana'í yich'ą́ą́h nideelnii' da áádóó Jéíkab bikéyahgi kǫ' ó'oołdįįłii nahalingo t'áá ałtsogóó t'áá ał tsoní íísdįįd .
25:2:004:0	Ana'í nahalingo be'ełtį́į́' yiyiiłtaaz ; ana'í nahalingo bíla' nish'náájí yidineeshjołgo yiizį'go dabíiyisii daníl'íinii t'áá ałtso yiyííghą́ą́' ; Záíyan bich'é'é biníbaal bii' kǫ' nahalingo t'óó báhádzidgo bibee atí'él'íinii hadíínáád .
25:2:005:0	Bóhólníihii éí ana'ígi át'é ; Ízrel dine'é ałtso íísdįįd áádóó binanit'a'í dabikin ałtso íísdįįd áádóó bine' na'adzi'go bił nahaz'áanii yę́ę ałtso íísdįįd índa Júdah bitsi' atínídadindleehgo daachaígíí k'ee'ąą yilzhishgo áyiilaa .
25:2:006:0	Dá'ák'eh hojiłdééh nahalingo bikin bii' sohodizinę́ę t'áá na'níle'dii íísdįįd ; Bóhólníihii éí Záíyangi hodílzingo áłah ná'ádleeh yę́ę áádóó háá'áyį́į́h jį́ yę́ę doo béédajilniihgóó áhoolaa índa yéego báhóóchįįdígíí bee aláahgo naat'áanii áádóó nááda'iiłniihii danilį́į́ nít'éé' yę́ę yá nihwiiz'ą́ .
25:2:007:0	Bóhólníihii bidiyingo haz'ą́ yę́ę yaa iih niizį́į'go bibikáá' náá'iiniih yę́ę yóó'iidíí'ą́ . Aláahgo naat'áanii bikin biná'ástł'inii ana'í yeidiní'ą́ ; hodílzingo áłah ná'ádleeh yę́ęgi át'éego Bóhólníihii bikin bii' sohodizin biyi' hahóó'á .
25:2:008:0	Bóhólníihii éí Záíyan bich'é'é ditą́ągo binaa ahéé'ítł'inii íidoołdįįłgo yinahaz'ą́ . Yída'nééł'ąądígíí bik'ehgo bíla' yee í'doołdįįłgo t'áadoo ánéísįįdígíí bąą bine' na'adzi'ii áádóó tsé ahénátł'inii yichago yínííł nilį́įgo áyiilaa .
25:2:009:0	Hadáń'da'dítį́į́h yę́ę łeeh daaskai ; bich'ą́ą́h dáń'da'dilkał yę́ę niyiizti'go niyiishchxǫ' ; aláahgo hananit'a'í nilíinii áádóó binaat'áanii danilíinii ał'ąą dine'é bitahgóó dabi'disná ; bee haz'áanii doo nááhódlǫ́ǫ da áádóó áhodooníiłii yaa dahalne'ii éí Bóhólníihii bits'ą́ą́dóó doo bił ádahat'į́į da .
25:2:010:0	Záíyan bich'é'é bił haz'ánídóó hastóí danilínígíí ni'góó t'áadoo íits'a'í nidaháaztą́ ; tł'oh yishbizh dabi'ée'go łeezh bitsii'jį' yik'ídayiiskaad áádóó Jerúsalem kin haal'áádóó ch'ikéí danilíinii ni'jį' yaa adanees'ą́ .
