22:1:001:1	Young Woman
22:1:002:1	1:1
22:1:003:1	The headings identifying the speakers are not in the original text , though the Hebrew usually gives clues by means of the gender of the person speaking .
22:1:001:0	This is Solomon 's song of songs , more wonderful than any other .
22:1:002:0	Kiss me and kiss me again , for your love is sweeter than wine .
22:1:003:0	How pleasing is your fragrance ; your name is like the spreading fragrance of scented oils.No wonder all the young women love you !
22:1:004:1	Young Women of Jerusalem
22:1:005:1	Young Woman
22:1:004:0	Take me with you ; come , let 's run ! The king has brought me into his bedroom.How happy we are for you , O king.We praise your love even more than wine.How right they are to adore you .
22:1:005:0	I am dark but beautiful , O women of Jerusalem—dark as the tents of Kedar , dark as the curtains of Solomon 's tents .
22:1:006:0	Do n't stare at me because I am dark—the sun has darkened my skin.My brothers were angry with me ; they forced me to care for their vineyards , so I could n't care for myself—my own vineyard .
22:1:006:1	Young Man
22:1:007:0	Tell me , my love , where are you leading your flock today ? Where will you rest your sheep at noon ? For why should I wander like a prostituteamong your friends and their flocks ?
22:1:008:0	If you do n't know , O most beautiful woman , follow the trail of my flock , and graze your young goats by the shepherds ' tents .
22:1:009:0	You are as exciting , my darling , as a mare among Pharaoh 's stallions .
22:1:010:0	How lovely are your cheeks ; your earrings set them afire ! How lovely is your neck , enhanced by a string of jewels .
22:1:007:1	Young Woman
22:1:011:0	We will make for you earrings of goldand beads of silver .
22:1:012:0	The king is lying on his couch , enchanted by the fragrance of my perfume .
22:1:013:0	My lover is like a sachet of myrrhlying between my breasts .
22:1:008:1	Young Man
22:1:014:0	He is like a bouquet of sweet henna blossomsfrom the vineyards of En-gedi .
22:1:009:1	Young Woman
22:1:015:0	How beautiful you are , my darling , how beautiful ! Your eyes are like doves .
22:1:016:0	You are so handsome , my love , pleasing beyond words ! The soft grass is our bed ;
22:1:017:0	fragrant cedar branches are the beams of our house , and pleasant smelling firs are the rafters .
