9:27:001:1	David éí Filístiya dine'é yitahdi kééhat'į́
9:27:001:0	Áko David t'áá ádíyi'ídi ájíní, K'ad lá índa bik'íiníłką́ągo Saul shidiyoołhéeł ni; Filístiya dine'é bikéyahjį' yisdániichą́ą'go ts'ídá agháago shá yá'át'ééh. Áko Saul shik'ee bąąh nahóókaadgo Ízrel dine'é bikéyah nahaz'ą́ą́góó doo hanááshintáa da doo, áko bits'ąą yisdádeeshááł. 
9:27:002:0	Ákohgo David dah diiyáago hastą́ądi neeznádiin diné hoł naakaígíí ałdó' hoł dah diikaigo Méíyak biye' Éíkish éí Gath kin haal'áagi aláahgo naat'áanii yaa yíkai. 
9:27:003:0	Áko David éí Gath kin haal'áagi Éíkish bił kééhojit'į́į́ nít'éé'; diné bił nijikaígíí t'ááłá'í nítínígo t'áá bí bighandóó danilíinii yił kéédahat'į́į́ nít'éé'. Áko David hwe'asdzą́ą́ nidilt'éego bił kééhojit'į́, ła' Jézriyel kin shijaa'dóó naagháago Ahínowam wolyé, náánáła'ígíí éí Kármel kin shijaa'dóó naagháago bąąh áhásdįįdii nilį́įgo Néíbal be'asdzą́ą́ nít'é'ígíí éí Ábigeil wolyé. 
9:27:004:0	Áko David éí Gath kin haal'áágóó anííchą́ą'go Saul bił nááhóóne' nidi t'áadoo háká náádínéeztą́ą' da. 
9:27:005:0	Ákohgo David éí Éíkish áyidííniid, Ajooba' bee shichoha'néego shaa nitsíníkeesgo háni'dii kintahgi łahgo kééhasht'į́į doo biniyé kéyah shaa dahozhdidoo'ááł. Ha'át'íísh biniyé aláahgo naat'áanii bighangi ná naal'a'í nił kééhat'į́į doo? 
9:27:006:0	Áko íídą́ą́' Éíkish éí Zíklag kin haal'áii haidiní'ą́; éí bąą díí jį́į́góó Zíklag hoolyéii éí Júdah dine'é aláahgo binanit'a'í bídadéét'i'. 
9:27:007:0	Áko éí yoołkááł yę́ędą́ą́' Filístiya dine'é bikéyahgi David kééhojit'į́įgo nááhaidóó dį́į́' nídeezid. 
9:27:008:0	Áko David áádóó diné bił naakaígíí yił Gíísher dine'é áádóó Gíízer dine'é índa Ámalek dine'é danilíinii yaatįįh yikai; jó, éí ał'ąą dine'é t'áá ałk'idą́ą́' ákǫ́ǫ́ kéédahat'į́; éí Shur honoojíígóó t'áá níléí Ííjip kéyah bóhoneel'ą́ągo kéédahat'į́. 
9:27:009:0	Áko David éí díí kéyah nahaz'ánígi kéédahat'íinii nayísdįįd, éí diné áádóó asdzání t'áadoo nidi ła' ch'ééyáa da, nidi dibé áádóó béégashii áádóó télii índa ghą́ą́'ask'idii áádóó éé' t'áá ałtso áłah ádajiilaago Éíkish bich'į' níjíkai. 
9:27:010:0	Áko Éíkish nahódééłkidgo ání, Jį́į́dą́ą́'shą' háí bich'į' nidasoobaa'? David ání, Júdah dine'é áádóó Jiiráhmiyel dine'é índa Kííni dine'é éí shádi'áahjigo bikédaayah bich'į' nidasiibaa'. 
9:27:011:0	Áko David éí diné, doodaii' asdzání t'áadoo ła' t'áá hináago ájiilaa da, áko Gath kin haal'áajį' t'áadoo hólne'í da hodidoo'niił, David kwáát'įįd lá, áádóó Filístiya dine'é yił kééhat'į́ yę́ędą́ą́' ga' kwe'eł'į́į́ nít'éé' lá. 
9:27:012:0	Áko Éíkish éí David ya'ólíigo ání, Hodine'é Ízrel t'áá íiyisí t'óó haa'ih dahó'níigo ájiilaa; éí bąą hool'áágóó shá nijil'a' doo.
