9:3:001:1	Bóhólníihii éí Sámuel yíká ádííniid
9:3:001:0	K'ad ashkii Sámuel éí Íílai binááł Bóhólníihii yá naal'a'. Éí yoołkááł yę́ędą́ą́' Bóhólníihii bizaad bee ił hane'ii t'áá bídin hóyéé' nít'éé', háálá t'áá bééhózínígo ił ch'óhodoo'áałii ádin. 
9:3:002:0	Éí hoolzhish yę́ędą́ą́' Íílai t'áá hó názhnítéhígi dziztį́, áádóó haná'oh halbáago doo ajoo'į́į da dzizlį́į́'; 
9:3:003:0	éí Bóhólníihii bikin bii' sohodizinii biyi' góne' Diyin God bitsits'aa' dílzinii si'ánígi bee hool'iní t'ah doo nitséésgóó Sámuel éí iizhdoołhosh biniyé jineeztį́įgo 
9:3:004:0	Bóhólníihii éí Sámuel yiyíízhi'. Áko ájíní, Kǫ́ǫ́ sétį́. 
9:3:005:0	Áko Íílai baa jílwodgo ájíní, Shíínízhi'go bąą naa níyá. Nidi áháłní, Doo níízhi' da; nílááh, náníteeh. Áko názneeztį́. 
9:3:006:0	Nít'éé' Bóhólníihii nááhóózhi'go, Sámuel, nááhodi'ní. Áko Sámuel nínáázhdii'na'go Íílai baa náájílwodgo ájíní, T'áá aaníí nááshííníji'go bąą naa nááníshwod. Nidi áháłní, Doo nííníshíi da, shiye'; nílááh, nínááníteeh. 
9:3:007:0	Sámuel éí Bóhólníihii t'ah doo bééhodzoosįįh da, áádóó Bóhólníihii bizaad t'ah doo hach'į' yit'íní álnéeh da. 
9:3:008:0	Ákohgo táadi aleeh góne' Bóhólníihii éí Sámuel nááyiyíízhi'. Áko nínáázhdii'na'go Íílai baa náájílwodgo ájíní, T'áá aaníí nááshííníji'go bąą naa nááníshwod. Ákohgo Íílai ákozniizį́į'go Bóhólníihii éí ashkii yózhíí lá. 
9:3:009:0	Éí bąą Íílai éí Sámuel ábizhdííniid, Nílááh, náníteeh, náánooji'go ábididííniił, Bóhólníihii, handziih, háálá ná naal'a'í nishłíinii íísísts'ą́ą́'. Áko Sámuel dashdiiyáago t'áá jinitéhígi níjineestį́. 
9:3:010:0	Áádóó t'áá áłtséédą́ą́' ádzaa yę́ęgi át'éego Bóhólníihii haa honíle'go yiizį'go nááhooji'go ání, Sámuel! Sámuel! Áádóó Sámuel ání, Handziih, ná naal'a'í nishłíinii íísísts'ą́ą́'. 
9:3:011:0	Ákohgo Bóhólníihii éí Sámuel áyidííniid, Jó, Ízrel dine'é bitahgi baa nideeshaałígíí éí t'ááłá'í jinítínígo dazhdiits'a'ígíí hajaa' t'áá ałch'ijí hajeeh dahosiilts'į́įh doo. 
9:3:012:0	Éí bijį́įdi Íílai áádóó bits'ą́ą́dóó ahoolchíiłii bik'ijį' bee haasdzíi'ii baa nídiisdzáádóó ałtso áshłaajį' bohodoolnííł. 
9:3:013:0	Jó, hoł hweeshne'go ádííniid, Ha'áłchíní náás ahoolchíiłii beinísht'į́įgo ahool'áa doo; jó, doo ákwii áhát'íinii baa ákoznízingo haye'ké ádík'ijį' hoolchxį'go índa doo yóweh bijiníígóó bá nihodeesh'ááł. 
9:3:014:0	Éí bąą Íílai ba'áłchíní náás ahoolchíiłii bich'į' bee ádee hadeesdzíi'go ádííniid, Ádił nida'ayoosíi'go éí didlidgo nááhániihii índa nááhániihii bee doo nihąąh nahjį' kólyaagóó ahool'áa doo. 
9:3:015:0	Sámuel t'óó dziztį́įgo hoos'įįd; Bóhólníihii bikin bii' sohodizin bidáádílkał ąą ádajiilaa. Áádóó Sámuel hoł áhoodzaaígíí éí Íílai bił hozhdoolnihígi t'áá íiyisí bik'ee hoł yéé'. 
9:3:016:0	Nidi Íílai éí Sámuel hágo yidííniidgo ání, Sámuel, shiye'. Áko ábizhdííniid, Kǫ́ǫ́ naa níyá. 
9:3:017:0	Áko Íílai áhodííniid, Bóhólníihii lá ha'át'íí yee nił hoolne'? T'áadoo shits'ąą naníł'iní, baa nánooshkąąh. T'áadoo le'é yee nił hoolne'ígíí shits'ąą naníł'ingo éí Diyin God atínidoolííł, áádóó t'ah yówehígi át'éego atínidoolííł. 
9:3:018:0	Ákohgo Sámuel éí t'áá ałtsoní t'áadoo nazhnił'inígóó t'áá át'é bee bił hojoolne'. Áádóó Íílai ájíní, Díí Bóhólníihii át'į́; bíni'dii bił yá'át'éhígi át'éego íidoolííł. 
9:3:019:0	Áko Sámuel noosééł, índa Bóhólníihii bił hólǫ́ǫgo bizaad doo t'áá ádzaaí yileeh da. 
9:3:020:0	Dan kin haal'áádóó Bíyer-shííba kin shijaa'jį' Ízrel dine'é kéédahat'íinii t'áá ałtso díí bił béédahoozin. Sámuel éí Bóhólníihii chánah ábiilaago yá halne'ii silį́į́' lá. 
9:3:021:0	Sháíloh haz'ánígi Bóhólníihii yit'íní ánáá'diilyaa, háálá Sháílohgi Bóhólníihii t'áá bí bizaad binahjį' Sámuel yich'į' yit'íní í'diilyaa.
