14:9:001:1	Shííbadóó asdzą́ą́ naat'ááh éí Sálaman yaa níyá
14:9:001:0	Áko Shííba kéyahdóó asdzą́ą́ naat'ááh éí Sálaman ch'íbi'dit'áahgo yaa hodiizts'ą́ą'go, éí bee hwééhodoozįįł biniyé nantł'ago na'ídíkidii yínahódídóołkił yiniyé Jerúsalem kin haal'áajį' níyá, áko diné lą'í hoł yíkai, áádóó spáis wolyéhígíí áádóó óola índa tsé da'ílíinii ghą́ą́'ask'idii há deíłjiidgo yił níná. Áko Sálaman yaa níyáago biyi'di yee nitsíkeesígíí t'áá át'é yee yił ahił nahasne'. 
14:9:002:0	Áádóó Sálaman bínabízhdééłkidígíí t'áá át'é yee hoł hoolne', áko t'áadoo łahgo nées'į́'í t'áá bééhózínígo Sálaman hoł hoolne'. 
14:9:003:0	Áádóó Shííba kéyahdóó asdzą́ą́ naat'ááh éí Sálaman bibee hódzáanii bił bééhoozin, áádóó kin áyiilaa lá, 
14:9:004:0	índa bikáá' adání bikáá'dóó ch'iyáán índa yił nidaha'áago bá nidaal'a'í dah nídinibįįhígíí, áhą́dígo bá nidaal'a'ígíí áádóó dabi'éé', bibee adlání yaa ádahalyáanii áádóó dabi'éé' índa Bóhólníihii bikin bii' sohodizin bich'į' háá'ádáhígíí dziiłtsą́ągo t'óó bik'ee hoł ahayóigo t'áadoo ájóne'gi da. 
14:9:005:0	Aláahgo naat'áanii ábijiní, Baa nanináhígíí índa nibee hódzáanii shikéyahdi bee naa hane'go diséts' ą́'ígíí t'áá aaníí lá. 
14:9:006:0	Nidi yaa dahalne'ígíí doo yinishdlą́ą da nít'éé'. T'áá shí níyáago nééł'į́į'go índa; ayóó át'é nibee hódzáanii t'áá bighąądígi nidi t'áadoo bee shił hóóne' da lá; bee naa hane'go diséts'ą́'ígíí biláahdigo ádaaníí lá. 
14:9:007:0	Diné nidááhdóó naazíinii áádóó ná nidaal'a'í nidááhdóó naazį́įgo nibee hódzáanii t'áá áłahjį' dayíists'ą́ą'ii dooládó' bił dahózhǫ́ǫ da. 
14:9:008:0	Bóhólníihii niDiyin God éí naa bił hózhǫ́ǫgo Ízrel dine'é bá bikáá'dóó nahat'áii yikáá'dóó dah nineesdáii baa ha'niih le'; Bóhólníihii éí Ízrel dine'é hool'áágóó ayóó'áyó'nínígíí biniinaa doo haa dayit'éégóó índa t'áá ákogi át'éego diné bá hóó'áał doo biniyé aláahgo naat'áanii ániilaa. 
14:9:009:0	Neeznádiindóó ba'aan naadiin tálent bíighahgo óola áádóó spáis wolyéii t'áá íiyisí t'óó ahayóigo índa tsé da'ílíinii aláahgo naat'áanii baazhnínil; díí spáis wolyéii éí Shííba kéyahdóó asdzą́ą́ naat'ááh éí aláahgo naat'áanii Sálaman yeinínilígíí ákót'éii t'áadoo ła' baí'nil da.  
14:9:010:0	Áádóó ałdó' Háíram bá nidaal'a'í índa Sálaman bá nidaal'a'í éí Ófer haz'ánídę́ę́' óola áádóó tsin álmug bídáátsélígíí índa tsé da'ílíinii nideizyį́. 
