10:17:001:1	Húshai éí Ahíthofel nayik'íyáłti'ígíí yik'eh deesdlį́į́'
10:17:001:0	Náá'áłdó' Ahíthofel éí Ábsalam ánéidi' ní, Haa'íyee' k'ad naakits'áadahdi mííl diné bits'áníshníiłgo bił díí tł'éé' David bikéé' hidiikah. 
10:17:002:0	T'áá íiyisí niníyáago áádóó bąąh nahóókaadgo bik'i dah deeshááł, áko tsídidoolyisgo nídooldzííł áádóó diné t'áá ałtso bił naakaígíí yóó'adínóodzoł, índa aláahgo naat'áanii t'éiyá bił nizhdeeshxał. 
10:17:003:0	Áko diné t'áá ałtso naa áłah áńdeeshłííł; diné há dííní'į́'ígíí seesyį́įgo diné t'áá ałtso nídookah, áádóó diné t'áá ałtso bił hodéezyéel doo. 
10:17:004:0	Kóhodoo'niidígíí Ábsalam bił hóóshǫǫd áádóó Ízrel dine'é aląąjį' naazíinii t'áá ałtso t'áá íiyisí bił yá'ádaat'ééh. 
10:17:005:0	Nít'éé' Ábsalam ádííniid, Árkadóó dine'é Húshai ałdó' k'ad hágo bidohní, Haa'íshą' ha'át'íí didooniiłígíí hazhó'ó deídíilts'įįł. 
10:17:006:0	Húshai éí Ábsalam yaa níyáago Ábsalam hach'į' haadzíi'go kóháłní, Ahíthofel kót'éego ída'diilnííł níigo haadzíí'. Yee haadzí'ígíísh bik'eh ádadii'nííł? Dooda, daats'í; nishą', éí ha'át'íí diní? 
10:17:007:0	Áádóó Húshai éí Ábsalam áyidííniid, Ahíthofel kót'é jiníinii doo yá'át'ééhgóó kót'é ha'níinii át'é. 
10:17:008:0	Jó, Húshai ádííniid, Nizhé'é áádóó diné yił naakaígíí át'éii nił bééhózin; diné dahayói danilį́įgo shashtsa'ii biyázhí bee neest'į́į'go báhóóchįįdígi át'éego ana'dandzin. Áádóó nizhé'é éí ana'al'į́ át'é nízin índa diné bił naakaígíí doo yitahji biiłkáah da. 
10:17:009:0	Shoo, k'ad nidi háadi shį́į́ łeeh hoodzą́ą́ góyaa nant'in, doodaii' t'áá haa'ída dah noot'į́į́ł sha'shin. Áko díigida áhodooníiłgo da'át'é; bí áłtsé bisiláo nihik'i dah hizhjée'go nihaatįįh yikaigo t'áá háiida yaa hodiizts'ą́ą'go ádidooniił, Ábsalam éí diné bił nidaabaahii ła' naaztseed. 
10:17:010:0	Áko diné doo nánílyéesii, éí náshdóítsoh bitsiijį' ditł'oii bii' honít'i'ígi át'éego hayi' honít'i'ígíí doo chohoo'į́į́góó nízhdooldzííł. Jó, Ízrel dine'é t'áá ałtso díí bił béédahózin; éí nizhé'é ayóó át'éego ana'al'į́ át'é nízinii nilį́ áádóó bił naakaígíí doo nídanilyéesii danilį́. 
10:17:011:0	Éí bąą kót'éego náhodish'aah, éí Ízrel dine'é t'áá ałtso naa áłah ádoolnííł. Dan kin haal'áádóó Bíyer-shííba kin shijaa'góó kéédahat'íinii éí tónteel bibąąhgóó séigi ánéelą́ą'go át'é, áko t'áá ni bił dadííbah. 
10:17:012:0	Áko haa'ída hak'ídadiikahgo shódahwiidiilt'eełgo da'át'é, áádóó dahtoo' haleehgo ni'jį' kót'įįhígi át'éego haatįįh diikah, áko t'áá hó áádóó diné hoł naakai yę́ę t'áá ałtso t'ááłá'í nidi doo ła' doodzih da. 
10:17:013:0	Náá'áłdó' kin haal'áajį' yah ííyáago Ízrel dine'é t'áá ał tso tł'óół nideidiyoojihgo kin haal'áhídóó tsé hadeidiyooshołgo yíldzis góyaa ádeidiyooshoł; tsé yázhí nidi ałtso ákóyaa adeidiyoojih. 
10:17:014:0	Áádóó Ábsalam índa Ízrel dine'é t'áá ałtso ádadííniid, Árkadóó dine'é Húshai kót'é nínígíí éí Ahíthofel kót'é dííniidígíí biláahgo yá'át'ééh, háálá Bóhólníihii éí yee haadzíi'go Ahíthofel yá'át'éehgo kót'é dííniidígíí nahjį' kólyaa; Bóhólníihii éí doo yá'áshóonii Ábsalam yik'ijį' kwíidoolííł biniyé. 
10:17:015:0	Nít'éé' Húshai éí náá'iiłniihii Zéídak áádóó Abáíyathar áyidííniid, Kóníigo Ahíthofel éí Ábsalam áádóó Ízrel dine'é aląąjį' naazíinii kódadoohłííł, yidííniid, áádóó shí ałdó' kódíshníigo kódadoohłííł, bidííniid. 
10:17:016:0	Éí bąą k'ad tsxį́įłgo David bee bił dahołne'go kódabidohní, Díí tł'éé' éí honoojíidi dah nídzílgaigi doo danihiidoołkáał da; tsxį́įłgo ha'naa ninohkááh; éí doodago aláahgo naat'áanii índa diné yił naakaígíí t'áá ałtso nabidi'dootsił. 
10:17:017:0	Jánathan áádóó Ahímeiyaz éí Enrógel haz'ánígi dzizké; doo hodi'dooltséłígíí biniyé doo t'áá k'ad kin haal'áajį' jideezh'áazh da, áko ch'ikę́ę́h naal'a'í ła' haa níyáago hoł hoolne', áádóó dashdii'áazhgo yee hoł hoolne'ígíí aláahgo naat'áanii bee bił hojoolne'. 
10:17:018:0	Azhą́ ákót'ée nidi ashkii ła' hoołtsą́ągo Ábsalam yił hoolne', áko tsxį́įłgo dah ahizhdíníilchą́ą'go Bahúrim haz'ánídi diné léi' bighandi jiní'áázh; éí bighan binaa ahéé'ítł'inígíí biyi' tó hahadleeh lá; ákóyaa ajíí'áázh. 
10:17:019:0	Áádóó asdzání éí tó hahadleeh hahasdzánígíí yik'é'ésti'go naadą́ą́' haaltseedgo yik'i neisas, áko doo bééhózin da. 
10:17:020:0	Ábsalam bá nidaal'a'í éí asdzání yich' į' daaskaigo bighangi ádeidííniid, Háadishą' Ahímeiyaz áádóó Jánathan? Nít'éé' asdzání ábíłní, Níléí tooh ha'naa yi'ash ni'. Áádóó dah diikaigo ákǫ́ǫ́ ch'ééh hadazneeztą́ą́' índa t'óó Jerúsalem kin haal'áágóó t'ą́ą́' níjíkai. 
10:17:021:0	Ákódzaago anáhaaskaidóó bik'ijį' tó hahadleehdę́ę́' háájísht'áázh áádóó dashdii'áazhgo aláahgo naat'áanii David hane' baazhní'ą́. Áádóó David ííłní, Nídiidáahgo tsxį́įłgo tooh ha'naa ninínááh, háálá Ahíthofel nik'ijį' nilį́įgo, Kót'ée doo, dííniid. 
10:17:022:0	Áko David dah diiyá áádóó diné hoł naakaígíí bił dashdiikaigo Jórdan tooh ha'naa nijíkai; abínígo adideezdláadgo ałtso Jórdan ha'naa nijíkai, áko doo ła' t'áá áadi naagháhí da. 
10:17:002:1	David éí Meihanéíyim kin shijaa'di naaghá
10:17:023:0	Ákohgo Ahíthofel éí kót'é dííniidígíí doo bik'ehgo dah adiildee'góó yaa ákoniizį́į'go bitélii yik'i dah aznil, áádóó bił dah diildloozhgo bighangóó bikin haal'áajį' nábígį́. Áádóó bighandi nádzáago bida'diił'áhígóó ałtso hasht'eyiilaa índa dah ádiidlo'go daaztsą́ áádóó bizhé'é yę́ę bitséní'ootséél góne' yóó'ábi'diilyaa. 
10:17:024:0	Nít'éé' David éí Meihanéíyim kin shijaa'gi níyá. Áko Ábsalam éí Jórdan tooh ha'naa ni'ní'eezh; bí áádóó Ízrel dine'é t'áá ałtso hoł yinééł. 
10:17:025:0	Áko Ábsalam éí Jó'ab bitsásk'ehgi Améísa siláo dah deínéehii binanit'a'í ájiilaa; Améísa éí Jííther wolyéii Ízrel dine'é nilį́įgo biye' jílį́; Jííther éí Néíhash bitsi' Ábigeil hwe'asdzą́ą́ nilį́įgo Jó'ab bimá Zerowáíyah yideezhí nilį́. 
10:17:026:0	Áko Ízrel dine'é áádóó Ábsalam éí Gíliyad kéyah biyi'gi niníná. 
10:17:027:0	Ákódaadzaadóó David éí Meihanéíyim kin shijaa'jį' jiníyáago Néíhash biye' Shóbai éí Áman dine'é bikin haal'áii Rábahdę́ę́' naagháii, áádóó Ámiyel biye' Méíkir éí Ló-dííbar kin shijaa'dę́ę́' naagháii índa Gíliyad dine'é Barziléíyai, éí Rógiilim kin shijaa'dę́ę́' naagháii 
10:17:028:0	díí deizyį́: éí tsásk'eh áádóó tł'oh naadą́ą́' bidee'í áádóó ak'áán áádóó naa'ołí áádóó naa'ołí nímazí áádóó neeshjį́zhii 
10:17:029:0	áádóó tsés'ná bitł'izh áádóó mandagíya áádóó dibé índa béégashii bibe' bee géeso ályaii; éí David áádóó diné bił naakaígíí deiyą́ą doo biniyé hach'į' kódayiilaa, háálá ádaaní, Diné dichin bi'niighą́ą́' áádóó ch'ééh dadeeskai índa dibáá' danilį́įgo honoojíidi tádínééh.
